"replicate","timeStep","resource1amount","resource2amount","prey1PopulationSize","prey2PopulationSize","prey1catches","prey2catches","predator1PopulationSize","prey1growthRate","prey2growthRate","predatorGrowthRate"
1,0,31250,31250,25,25,0,0,0,0,0,0
1,10,29492,29364,24,25,0,0,0,-4,0,0
1,20,29390,29386,46,35,0,0,0,91.6666666666667,40,0
1,30,27720,28680,57,49,0,0,0,23.9130434782609,40,0
1,40,27186,27559,80,76,0,0,0,40.3508771929825,55.1020408163265,0
1,50,25180,25740,111,109,0,0,0,38.75,43.4210526315789,0
1,60,23235,22779,155,163,0,0,0,39.6396396396396,49.5412844036697,0
1,70,19957,19061,234,216,0,0,0,50.9677419354839,32.5153374233129,0
1,80,15668,16070,306,306,0,0,0,30.7692307692308,41.6666666666667,0
1,90,11550,11199,386,400,0,0,0,26.1437908496732,30.718954248366,0
1,100,7973,6943,453,451,0,0,0,17.3575129533679,12.75,0
1,110,5842,6020,474,494,0,0,0,4.63576158940397,9.53436807095344,0
1,120,5031,5002,512,481,0,0,0,8.0168776371308,-2.63157894736842,0
1,130,3890,4887,495,506,0,0,0,-3.3203125,5.1975051975052,0
1,140,4475,4459,520,504,0,0,0,5.05050505050505,-0.395256916996047,0
1,150,3941,4769,511,499,0,0,0,-1.73076923076923,-0.992063492063492,0
1,160,4763,4193,517,522,0,0,0,1.17416829745597,4.60921843687375,0
1,170,4027,3955,499,517,0,0,0,-3.4816247582205,-0.957854406130268,0
1,180,4330,4236,502,495,0,0,0,0.601202404809619,-4.25531914893617,0
1,190,4410,4573,497,489,0,0,0,-0.99601593625498,-1.21212121212121,0
1,200,4430,4667,497,488,0,0,0,0,-0.204498977505112,0
1,210,4572,4963,498,478,1,1,48,0.201207243460765,-2.04918032786885,0
1,220,5076,5193,476,470,2,2,80,-4.41767068273092,-1.67364016736402,66.6666666666667
1,230,5409,6325,453,440,3,2,138,-4.83193277310924,-6.38297872340426,72.5
1,240,7433,7855,407,421,4,7,240,-10.1545253863135,-4.31818181818182,73.9130434782609
1,250,9880,9282,324,329,14,3,374,-20.3931203931204,-21.8527315914489,55.8333333333333
1,260,14929,15271,228,195,5,11,599,-29.6296296296296,-40.7294832826748,60.1604278074866
1,270,22110,24096,61,46,5,6,631,-73.2456140350877,-76.4102564102564,5.34223706176962
1,280,29090,29679,12,9,4,1,362,-80.327868852459,-80.4347826086957,-42.6307448494453
1,290,30554,30886,5,5,0,0,80,-58.3333333333333,-44.4444444444444,-77.9005524861878
1,300,30903,30923,11,6,0,1,15,120,20,-81.25
1,310,30392,30791,18,6,1,0,2,63.6363636363636,0,-86.6666666666667
1,320,29815,30860,21,8,0,0,3,16.6666666666667,33.3333333333333,50
1,330,29617,30628,37,13,0,0,0,76.1904761904762,62.5,-100
1,340,28399,30274,54,19,0,0,0,45.9459459459459,46.1538461538462,0
1,350,27162,29831,72,25,0,0,0,33.3333333333333,31.5789473684211,0
1,360,25663,29333,110,47,0,0,0,52.7777777777778,88,0
1,370,23329,27915,151,53,0,0,0,37.2727272727273,12.7659574468085,0
1,380,20139,27368,199,70,0,0,0,31.7880794701987,32.0754716981132,0
1,390,17260,26008,294,101,0,0,0,47.7386934673367,44.2857142857143,0
1,400,11936,23955,366,143,0,0,0,24.4897959183673,41.5841584158416,0
1,410,8713,20630,450,206,0,0,0,22.9508196721311,44.0559440559441,0
1,420,5868,16441,467,279,0,0,0,3.77777777777778,35.4368932038835,0
1,430,5364,12722,495,361,0,0,0,5.99571734475375,29.3906810035842,0
1,440,4537,9043,513,419,0,0,0,3.63636363636364,16.0664819944598,0
1,450,4415,7123,500,463,0,0,0,-2.53411306042885,10.5011933174224,0
1,460,4234,5820,494,511,0,0,0,-1.2,10.3671706263499,0
1,470,4400,4534,550,492,0,0,0,11.336032388664,-3.71819960861057,0
1,480,3419,4669,509,500,0,0,0,-7.45454545454545,1.6260162601626,0
1,490,4371,4461,463,523,0,0,0,-9.03732809430255,4.6,0
1,500,5232,4225,522,496,0,0,0,12.7429805615551,-5.16252390057361,0
1,510,4164,4591,505,505,0,0,0,-3.25670498084291,1.81451612903226,0
1,520,4714,4719,501,486,0,0,0,-0.792079207920792,-3.76237623762376,0
1,530,4255,4552,511,507,0,0,0,1.99600798403194,4.32098765432099,0
1,540,4174,4665,503,522,0,0,0,-1.56555772994129,2.9585798816568,0
1,550,4182,4141,517,483,0,0,0,2.78330019880716,-7.47126436781609,0
1,560,4276,5146,512,494,0,0,0,-0.967117988394584,2.27743271221532,0
1,570,4341,4679,493,501,0,0,0,-3.7109375,1.417004048583,0
1,580,5206,5606,497,481,0,0,0,0.811359026369168,-3.99201596806387,0
1,590,4734,5081,480,498,0,0,0,-3.420523138833,3.53430353430353,0
1,600,4924,4698,501,494,0,0,0,4.375,-0.803212851405622,0
1,610,4487,5068,525,474,0,0,0,4.79041916167665,-4.04858299595142,0
1,620,3801,5101,519,490,0,0,0,-1.14285714285714,3.37552742616034,0
1,630,4159,4444,498,534,0,0,0,-4.04624277456647,8.97959183673469,0
1,640,4889,3917,495,495,0,0,0,-0.602409638554217,-7.30337078651685,0
1,650,4800,5108,473,493,0,0,0,-4.44444444444444,-0.404040404040404,0
1,660,5202,4929,502,511,0,0,0,6.13107822410148,3.65111561866126,0
1,670,4046,4609,524,501,0,0,0,4.38247011952191,-1.95694716242661,0
1,680,4214,4328,480,491,0,0,0,-8.3969465648855,-1.99600798403194,0
1,690,5273,4668,501,519,0,0,0,4.375,5.70264765784114,0
1,700,4159,4005,500,522,0,0,0,-0.199600798403194,0.578034682080925,0
1,710,4575,4107,508,482,0,0,0,1.6,-7.66283524904215,0
1,720,4172,4972,516,474,0,0,0,1.5748031496063,-1.6597510373444,0
1,730,3872,5194,549,513,0,0,0,6.3953488372093,8.22784810126582,0
1,740,3515,4299,493,516,0,0,0,-10.200364298725,0.584795321637427,0
1,750,4841,4226,501,512,0,0,0,1.62271805273834,-0.775193798449612,0
1,760,4839,4131,481,512,0,0,0,-3.99201596806387,0,0
1,770,4738,4660,509,497,0,0,0,5.82120582120582,-2.9296875,0
1,780,4064,4516,520,496,0,0,0,2.16110019646365,-0.201207243460765,0
1,790,3838,4612,514,519,0,0,0,-1.15384615384615,4.63709677419355,0
1,800,4089,4371,545,490,0,0,0,6.03112840466926,-5.58766859344894,0
1,810,3282,4727,486,504,0,0,0,-10.8256880733945,2.85714285714286,0
1,820,4986,4421,502,511,0,0,0,3.29218106995885,1.38888888888889,0
1,830,4689,4237,489,511,0,0,0,-2.58964143426295,0,0
1,840,4837,4483,494,511,0,0,0,1.02249488752556,0,0
1,850,4737,4072,525,516,0,0,0,6.2753036437247,0.978473581213307,0
1,860,4057,4253,520,499,0,0,0,-0.952380952380952,-3.29457364341085,0
1,870,4367,4781,483,500,0,0,0,-7.11538461538461,0.200400801603206,0
1,880,5004,4720,474,480,0,0,0,-1.86335403726708,-4,0
1,890,4653,4956,521,512,0,0,0,9.91561181434599,6.66666666666667,0
1,900,4261,5005,504,482,0,0,0,-3.26295585412668,-5.859375,0
1,910,4464,5076,515,484,0,0,0,2.18253968253968,0.4149377593361,0
1,920,4133,4938,506,517,0,0,0,-1.74757281553398,6.81818181818182,0
1,930,4139,4402,503,478,0,0,0,-0.592885375494071,-7.54352030947776,0
1,940,4979,5060,498,504,0,0,0,-0.99403578528827,5.43933054393305,0
1,950,4929,4100,486,520,0,0,0,-2.40963855421687,3.17460317460317,0
1,960,4259,4259,507,494,0,0,0,4.32098765432099,-5,0
1,970,4256,4423,515,496,0,0,0,1.57790927021696,0.404858299595142,0
1,980,4645,4752,486,521,0,0,0,-5.63106796116505,5.04032258064516,0
1,990,4871,3922,508,502,0,0,0,4.52674897119342,-3.6468330134357,0
1,1000,4115,4562,495,505,0,0,0,-2.55905511811024,0.597609561752988,0
2,0,31250,31250,25,25,0,0,0,0,0,0
2,10,29430,29341,24,26,0,0,0,-4,4,0
2,20,29510,29465,39,33,0,0,0,62.5,26.9230769230769,0
2,30,28362,28676,61,55,0,0,0,56.4102564102564,66.6666666666667,0
2,40,26671,27096,77,74,0,0,0,26.2295081967213,34.5454545454545,0
2,50,25618,25761,118,94,0,0,0,53.2467532467532,27.027027027027,0
2,60,22852,24136,153,142,0,0,0,29.6610169491525,51.063829787234,0
2,70,20464,20710,217,189,0,0,0,41.8300653594771,33.0985915492958,0
2,80,16199,17846,279,283,0,0,0,28.5714285714286,49.7354497354497,0
2,90,12122,12358,388,355,0,0,0,39.0681003584229,25.4416961130742,0
2,100,7441,9316,452,447,0,0,0,16.4948453608247,25.9154929577465,0
2,110,5332,5952,495,478,0,0,0,9.51327433628319,6.93512304250559,0
2,120,4393,5200,519,479,0,0,0,4.84848484848485,0.209205020920502,0
2,130,4167,5094,494,525,0,0,0,-4.81695568400771,9.60334029227557,0
2,140,5228,3776,478,523,0,0,0,-3.23886639676113,-0.380952380952381,0
2,150,5437,3739,515,499,0,0,0,7.74058577405858,-4.58891013384321,0
2,160,3992,4814,484,506,0,0,0,-6.01941747572816,1.40280561122244,0
2,170,4618,4796,501,496,0,0,0,3.51239669421488,-1.97628458498024,0
2,180,4325,4514,524,498,0,0,0,4.59081836327345,0.403225806451613,0
2,190,4152,4749,491,474,0,0,0,-6.29770992366412,-4.81927710843374,0
2,200,4300,5293,527,515,0,0,0,7.33197556008147,8.64978902953587,0
2,210,3975,4022,493,487,0,1,44,-6.45161290322581,-5.4368932038835,0
2,220,5055,5157,466,478,0,3,74,-5.47667342799189,-1.84804928131417,68.1818181818182
2,230,5783,5893,452,446,3,5,135,-3.00429184549356,-6.69456066945607,82.4324324324324
2,240,6887,7337,441,396,1,5,230,-2.43362831858407,-11.2107623318386,70.3703703703704
2,250,8712,10147,347,353,5,5,383,-21.3151927437642,-10.8585858585859,66.5217391304348
2,260,13348,14870,202,172,11,9,612,-41.7867435158501,-51.2747875354108,59.7911227154047
2,270,23530,24470,55,37,5,10,605,-72.7722772277228,-78.4883720930233,-1.1437908496732
2,280,29110,30102,13,7,2,0,292,-76.3636363636364,-81.0810810810811,-51.7355371900826
2,290,30576,30892,7,10,0,0,75,-46.1538461538462,42.8571428571429,-74.3150684931507
2,300,30870,30529,6,10,0,0,9,-14.2857142857143,0,-88
2,310,30801,30419,9,18,0,0,0,50,80,-100
2,320,30533,29992,14,20,0,0,0,55.5555555555556,11.1111111111111,0
2,330,30141,29733,24,40,0,0,0,71.4285714285714,100,0
2,340,29362,28180,35,49,0,0,0,45.8333333333333,22.5,0
2,350,28555,27635,50,73,0,0,0,42.8571428571429,48.9795918367347,0
2,360,27301,25890,68,100,0,0,0,36,36.986301369863,0
2,370,26204,23626,98,127,0,0,0,44.1176470588235,27,0
2,380,23883,21755,137,192,0,0,0,39.7959183673469,51.1811023622047,0
2,390,21291,17456,196,255,0,0,0,43.0656934306569,32.8125,0
2,400,17393,14120,264,324,0,0,0,34.6938775510204,27.0588235294118,0
2,410,13579,10584,343,411,0,0,0,29.9242424242424,26.8518518518519,0
2,420,9922,6875,427,471,0,0,0,24.4897959183673,14.5985401459854,0
2,430,6614,5208,464,490,0,0,0,8.66510538641686,4.03397027600849,0
2,440,5628,4623,478,529,0,0,0,3.01724137931034,7.95918367346939,0
2,450,5133,3868,517,514,0,0,0,8.15899581589958,-2.83553875236295,0
2,460,4189,4084,529,527,0,0,0,2.321083172147,2.52918287937743,0
2,470,3828,4079,492,487,0,0,0,-6.99432892249527,-7.59013282732448,0
2,480,4401,4997,509,487,0,0,0,3.45528455284553,0,0
2,490,4282,5045,508,510,0,0,0,-0.196463654223969,4.72279260780287,0
2,500,4252,4396,503,503,0,0,0,-0.984251968503937,-1.37254901960784,0
2,510,4516,4692,497,508,0,0,0,-1.19284294234592,0.99403578528827,0
2,520,4472,4650,510,472,0,0,0,2.61569416498994,-7.08661417322835,0
2,530,4784,5530,484,496,0,0,0,-5.09803921568627,5.08474576271186,0
2,540,5245,4501,497,506,0,0,0,2.68595041322314,2.01612903225806,0
2,550,4557,4203,491,530,0,0,0,-1.20724346076459,4.74308300395257,0
2,560,5162,4117,480,510,0,0,0,-2.24032586558045,-3.77358490566038,0
2,570,5165,4696,493,484,0,0,0,2.70833333333333,-5.09803921568627,0
