timeStep,resource1amount,resource2amount,prey1PopulationSize,prey2PopulationSize,prey1catches,prey2catches,predator1PopulationSize
0,31250,31250,25,25,0,0,0
10,29268,29458,24,24,0,0,0
20,29602,29377,35,33,0,0,0
30,28748,28878,50,43,0,0,0
40,27483,28093,75,58,0,0,0
50,25389,26845,112,87,0,0,0
60,23205,24768,147,123,0,0,0
70,20466,22297,221,158,0,0,0
80,15899,19915,304,220,0,0,0
90,11624,16454,356,281,0,0,0
100,9183,12351,427,366,0,0,0
110,6670,9166,470,464,0,0,0
120,5038,5212,502,464,0,0,0
130,4631,5460,489,488,0,0,0
140,4775,5323,516,488,0,0,0
150,4206,4904,512,487,0,0,0
160,4359,4968,502,516,0,0,0
170,4513,4252,494,518,0,0,0
180,4727,4066,495,489,0,0,0
190,4458,4859,534,495,0,0,0
200,3689,4914,503,488,0,0,0
210,4280,5504,492,504,0,1,37
220,5083,4313,500,496,1,1,66
230,4730,5552,478,439,0,3,132
240,5621,7135,445,445,6,4,217
250,7832,8035,392,379,5,2,372
260,11149,11875,287,294,6,5,593
270,18740,17582,132,119,8,14,810
280,26927,27172,24,13,6,7,771
290,30359,30903,3,1,0,0,386
300,31099,31200,3,0,0,0,108
310,31117,31250,1,0,0,0,15
320,31193,31250,1,0,0,0,1
330,31190,31250,1,0,0,0,0
340,31164,31250,1,0,0,0,0
350,31169,31250,2,0,0,0,0
360,31093,31250,2,0,0,0,0
370,31107,31250,2,0,0,0,0
380,31121,31250,5,0,0,0,0
390,30878,31250,5,0,0,0,0
400,30858,31250,6,0,0,0,0
410,30756,31250,8,0,0,0,0
420,30597,31250,13,0,0,0,0
430,30309,31250,20,0,0,0,0
440,29547,31250,31,0,0,0,0
450,28906,31250,46,0,0,0,0
460,27766,31250,71,0,0,0,0
470,26000,31250,103,0,0,0,0
480,23718,31250,138,0,0,0,0
490,21074,31250,196,0,0,0,0
500,17263,31250,270,0,0,0,0
510,13139,31250,369,0,0,0,0
520,8483,31250,444,0,0,0,0
530,6088,31250,490,0,0,0,0
540,4701,31250,489,0,0,0,0
550,4516,31250,492,0,0,0,0
560,4432,31250,518,0,0,0,0
570,4102,31250,522,0,0,0,0
580,4297,31250,490,0,0,0,0
590,4915,31250,496,0,0,0,0
600,4300,31250,504,0,0,0,0
610,4341,31250,509,0,0,0,0
620,4605,31250,504,0,0,0,0
630,4138,31250,510,0,0,0,0
640,4491,31250,494,0,0,0,0
650,4834,31250,489,0,0,0,0
660,4890,31250,499,0,0,0,0
670,5159,31250,486,0,0,0,0
680,4430,31250,511,0,0,0,0
690,4580,31250,512,0,0,0,0
700,4355,31250,503,0,0,0,0
710,4872,31250,490,0,0,0,0
720,4847,31250,511,0,0,0,0
730,4060,31250,502,0,0,0,0
740,4360,31250,518,0,0,0,0
750,4253,31250,490,0,0,0,0
760,4793,31250,514,0,0,0,0
770,4206,31250,504,0,0,0,0
780,4206,31250,513,0,0,0,0
790,3988,31250,491,0,0,0,0
800,4657,31250,501,0,0,0,0
810,4743,31250,512,0,0,0,0
820,4138,31250,493,0,0,0,0
830,4542,31250,510,0,0,0,0
840,4520,31250,500,0,0,0,0
850,4223,31250,509,0,0,0,0
860,4276,31250,478,0,0,0,0
870,4926,31250,522,0,0,0,0
880,4108,31250,510,0,0,0,0
890,4240,31250,506,0,0,0,0
900,4884,31250,508,0,0,0,0
910,4229,31250,492,0,0,0,0
920,4774,31250,494,0,0,0,0
930,4552,31250,505,0,0,0,0
940,4230,31250,515,0,0,0,0
950,3873,31250,506,0,0,0,0
960,4331,31250,517,0,0,0,0
970,3637,31250,519,0,0,0,0
980,4136,31250,511,0,0,0,0
990,4374,31250,525,0,0,0,0
1000,4277,31250,490,0,0,0,0
