"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,20,31250,31250,31250,31250,31250,31250,25,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,20,29347.8,29320.35,29372.2,29375.8,29347.7,29401.35,25.6,24.95,26.4,25.65,24.6,26.8,0,0,0,0,0,0,0,0,0,2.4,-0.2,5.4,2.6,-1.8,7,0,0,0
20,20,29303.6,29220.35,29379.7,29333.55,29247.95,29413.4,38.65,36.8,40.65,37.1,35.65,38.7,0,0,0,0,0,0,0,0,0,51.3468693933981,44.4750216771956,59.8208443717209,45.7396254129013,37.7331563766346,53.0794674146998,0,0,0
30,20,28330.95,28169.6,28476.1,28486.45,28366.55,28608.95,53.9,50.65,57.55,53.35,50.75,55.85,0,0,0,0,0,0,0,0,0,39.3185433237979,34.5167320439293,43.9509865063808,44.4295185048599,38.2014481168323,51.4813055944314,0,0,0
40,20,27167.7,26883.75,27435.4,27247.65,27075.3,27431.3,79.2,75.3,83.1,73.9,69.85,77.4,0,0,0,0,0,0,0,0,0,47.7797923335127,43.4065475636231,52.3830054755378,38.654269610236,34.1663239652102,42.8378942911681,0,0,0
50,20,25332.75,25000.95,25634.3,25736.35,25439.1,26026.05,114.2,108.5,119.7,106.95,102.1,111.65,0,0,0,0,0,0,0,0,0,44.5014520701768,40.6800004905573,47.6496780373532,45.4449380801445,40.2106860414646,50.9443182173873,0,0,0
60,20,22832.1,22404.15,23234.8,23330.6,22975.45,23688.2,159.3,151.05,168.65,149.4,142.85,155.3,0,0,0,0,0,0,0,0,0,39.5736588968736,36.3976879305053,43.3319473480564,39.857095817556,37.4144444751858,42.6724328049805,0,0,0
70,20,19689.2,19102.15,20210,20392,19993.45,20869.1,224.1,214.25,233.25,205.95,195.7,215,0,0,0,0,0,0,0,0,0,41.1359380151583,38.4222494728582,43.4595772541655,37.8146056966183,34.811074820282,40.8359343658575,0,0,0
80,20,15694.45,15092.25,16252.75,16631.05,16042.95,17190.75,302.05,290.15,314.15,281.6,269.65,292.75,0,0,0,0,0,0,0,0,0,34.9625452533546,32.6833598815824,37.5264787597676,37.1327511654336,34.2137082183886,40.3417369846569,0,0,0
90,20,11499.1,10948.8,12063.6,12485.75,11932.75,13121.5,378.9,367,391.25,362.45,348.65,374.55,0,0,0,0,0,0,0,0,0,25.8418463143151,22.5655101943049,28.7974568926863,28.8903904526271,27.4988006249049,30.324786901734,0,0,0
