"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,20,31250,31250,31250,31250,31250,31250,25,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,20,29400.45,29365.55,29431.8,28164.2,28099.75,28224.45,24.75,24.1,25.4,24.7,24.05,25.35,0,0,0,0,0,0,0,0,0,-1,-3.6,1.8,-1.2,-3.8,1.2,0,0,0
20,20,29390.1,29324.25,29454.75,28200.8,28122.3,28284.75,36.1,34.05,38.05,35.65,33.35,37.95,0,0,0,0,0,0,0,0,0,45.9707016635427,38.4734762863324,52.9240658516896,44.263431013431,36.4961538461538,52.6671855921856,0,0,0
30,20,28532.45,28399.95,28680.25,26862.35,26570.6,27132.35,54.1,51.2,56.95,49.6,46.5,52.9,0,0,0,0,0,0,0,0,0,51.0236278398815,42.6867485354147,60.2076918517499,39.2918257951998,35.2892978581446,43.0703270426369,0,0,0
40,20,27184.8,26950.7,27398.05,25268.05,24891.5,25677.9,77.2,72.8,81.65,69.6,65.55,73.7,0,0,0,0,0,0,0,0,0,43.0014650701069,38.2968960449085,47.9290896696322,41.3491817168882,34.7351514948839,48.9680330169001,0,0,0
50,20,25482.7,25138.8,25776.65,23029.25,22600.1,23448.6,107.15,101.8,112.85,93.9,88.05,99.2,0,0,0,0,0,0,0,0,0,39.1660284402202,35.545385269032,42.7852607148643,35.3567452518744,29.820459818646,40.0572140286432,0,0,0
60,20,23270.4,22834.6,23681.2,20489.75,19879.7,21052.05,153.05,144.35,161.8,123.75,115.5,131.15,0,0,0,0,0,0,0,0,0,42.8387735607939,39.6175349385535,46.0306012516188,32.1317189411166,27.5627373338946,36.6460738363055,0,0,0
70,20,20124.75,19510.8,20732.45,17636.7,16972.4,18301.15,215.8,205.5,226.7,156.15,149.75,162,0,0,0,0,0,0,0,0,0,41.5625520600165,37.8800798907561,45.196067862109,27.3194353712431,23.2693091530242,31.4591040757676,0,0,0
80,20,16154.05,15470.85,16820.8,14728.85,14283.9,15215.45,287.85,274.15,301.6,192.1,185.35,198.05,0,0,0,0,0,0,0,0,0,33.5605005636137,31.4663336031969,35.5789775801571,23.3043689938273,20.9409169201728,25.7337185877826,0,0,0
90,20,12151.8,11491.65,12811.6,12182.05,11720.6,12668.45,370.55,357.45,384.8,214.3,208.4,219.95,0,0,0,0,0,0,0,0,0,29.1877477027131,26.2163426734692,31.9636360691705,11.8115415342744,9.17586656389986,14.5831763696763,0,0,0
100,20,8543.25,8014.45,9031.9,10605,10302.15,10923.1,440.15,432,448.35,238.2,232.75,243.25,0,0,0,0,0,0,0,0,0,19.245182368466,16.6038321265351,22.0114537058622,11.4042394187396,8.76227520453354,14.0150589447841,0,0,0
110,20,6104.55,5797.5,6393.4,9350.9,9052.1,9633.55,484.9,477,492.3,247.2,243.95,250.8,0,0,0,0,0,0,0,0,0,10.3121640107336,8.17997762502771,12.4396622818262,4.00020981941936,1.6093941699192,6.38513710638478,0,0,0
120,20,4938.95,4756.1,5123.45,8774.9,8577.2,8962.65,496.4,489.85,502.75,249.75,245.05,254.55,0,0,0,0,0,0,0,0,0,2.47234495139885,0.652432741059155,4.19389769274132,1.12777668925804,-1.14110003891018,3.26575359219186,0,0,0
130,20,4674.05,4499.25,4847.1,8696.55,8404.1,8986.65,507.65,500.85,514.1,254.25,249.35,259.4,0,0,0,0,0,0,0,0,0,2.38270919271919,0.286111110330146,4.35798215022074,1.86341807458201,-0.0583693821332213,3.39676055910248,0,0,0
140,20,4455.15,4286.45,4612,8481.65,8223.2,8748.65,506.05,499.75,512.6,250.6,246.5,254.4,0,0,0,0,0,0,0,0,0,-0.216011164149412,-2.09119791692211,1.69185438200397,-1.2103093717223,-4.0378808514814,1.59488617742905,0,0,0
150,20,4604.7,4472,4727.35,8692.25,8447.95,8957.15,505.35,498.35,513.1,252.05,247.2,257,0,0,0,0,0,0,0,0,0,-0.0661970939904941,-1.94374477987612,1.80359340484817,0.659308896163092,-1.28099088458558,2.74188934972039,0,0,0
160,20,4532.25,4373.3,4722.6,8560.2,8368.85,8774.25,499.45,492.05,507,254.1,250.05,257.7,0,0,0,0,0,0,0,0,0,-1.00650108420114,-3.56592632711915,1.399479114699,1.04576925811051,-1.67239324013644,3.76994440518566,0,0,0
170,20,4559.75,4369,4733.75,8501.45,8276.2,8747.1,496.35,491.35,500.95,257.2,252.75,261.95,0,0,0,0,0,0,0,0,0,-0.516493797244682,-2.2812235985757,1.03802546322689,1.32699205624556,-0.681361631376644,3.63935529495729,0,0,0
180,20,4676.05,4500.3,4853.3,8156.25,7878.9,8426.75,496.65,490.45,502.2,256.85,251.75,261.45,0,0,0,0,0,0,0,0,0,0.107110685249726,-1.28413986611412,1.5170198566964,-0.0128055034093407,-2.08525963090502,2.33436624537976,0,0,0
190,20,4659.4,4482,4833.4,8311.05,8079.6,8567.8,499.8,493.75,505.9,259.2,255.2,263,0,0,0,0,0,0,0,0,0,0.677044443057581,-0.636367435387487,1.97981555325986,1.05749920553285,-1.11778829297902,3.23514906195751,0,0,0
200,20,4642.95,4482.5,4797.4,8103.5,7824.05,8380,500,495,505.75,258.6,253.7,264.2,0,0,0,0,0,0,0,0,0,0.132268487055127,-1.44782362469882,1.96523586802279,-0.160922381512323,-2.31674027844726,2.08662227822016,0,0,0
210,20,4734.65,4588,4882.85,8542.25,8226.45,8828.7,490.8,485.25,496.1,248,243.55,252.6,1.8,1.25,2.35,1.55,1.15,1.95,33.15,31.1,35.3,-1.76781395960522,-3.51171062154689,-0.176400751169713,-3.96807197886432,-6.0920337708187,-1.82820811309627,0,0,0
220,20,5026.65,4818.85,5218.6,9199.6,8821.15,9561.45,472.25,467.2,477.6,236.6,232.2,240.8,2.45,1.8,3.15,1.45,0.95,1.95,48.4,44.05,53.4,-3.71958499535134,-5.14350582985316,-2.16760094538284,-4.51865842226771,-6.31141881360603,-2.99651969313171,45.6463293430436,37.1053683921175,54.247381151718
230,20,5753.55,5540.5,5941,10117.15,9871.35,10346.8,455.8,449,463.3,219.55,214.05,225.5,3.4,2.7,4.15,2.05,1.4,2.7,70.6,62.55,79.15,-3.44559678703344,-4.92759821125171,-1.7935073661424,-7.12784183842515,-9.30129368765633,-4.78943645931855,44.7767824116682,38.2178699382072,51.9187147803061
240,20,6544.35,6280.4,6813.5,11412.55,10943.85,11859.35,421.75,410.35,431.05,203.35,194.8,210.35,6.15,5.05,7.35,2.95,2.1,3.95,103.05,91.05,116.25,-7.43952504769297,-9.57764909410569,-5.26714678621644,-7.43392976246754,-10.0203989510113,-5.385586183344,45.6214396965907,41.5604730071314,50.1854149175975
250,20,7995.65,7529.35,8441.35,12898.95,12278.45,13555.85,389.4,372.95,405.3,181.2,171.5,189.55,7.1,5.5,8.8,3.65,2.7,4.55,142.5,127.3,159.3,-7.82294307235006,-10.039468839771,-5.51872555680517,-10.9121453005911,-14.0521464547943,-7.62108944549851,40.4083442533262,35.2461665194895,45.9089359523244
260,20,9858.75,9008.6,10758.15,15016.1,14097.8,16041.4,340,317.35,358.8,149.25,135.75,162.25,8.25,7.2,9.25,4.15,3.35,5.05,179.2,165.25,191.65,-12.9825136426062,-15.4694400692528,-10.4078064805354,-18.398212688328,-23.1069611103534,-13.8627417918118,28.0004326968939,22.6790253303951,32.8235479772145
270,20,12528,11370.85,13759.55,17712.1,16568,18983.8,281.1,256.85,304.6,115.15,101.8,127.75,9.05,7.6,10.6,4.3,3.45,5.1,194.35,186,202.75,-17.8841409070552,-20.8265926779182,-15.1246011235123,-23.3989571673185,-26.7580479241498,-20.4318265738207,10.3952661168398,4.72102972487363,15.8457785728081
280,20,15421.9,14182.6,16721.55,20627.45,19471.15,21769.65,226.7,207.55,246.25,88.5,77.5,99.65,7.4,6.35,8.4,3.8,2.95,4.6,188,177.45,198.1,-19.3589675173419,-21.5663629019967,-16.9310337193295,-23.1412054971469,-26.9966193079986,-19.1156773245386,-2.44181264007332,-8.99778012986701,3.4597826641974
290,20,18271.95,17220.45,19305.4,22995.85,22005.6,23862.2,182.85,168.25,199.1,68.75,60.45,78.05,7.8,6.45,9.1,2.95,2.1,3.95,164.2,146.85,181,-18.3994995933454,-22.1990924045284,-14.5276499569723,-21.0710636644437,-26.8037799631212,-15.3488209813801,-13.2855206092615,-20.0601131023194,-6.18681366176308
300,20,20419.35,19716.7,21111.3,24683.7,23868.7,25371.65,157.3,146.85,166.5,55.35,50,60.8,5.1,3.9,6.35,1.85,1.2,2.5,118.3,101.15,137.8,-12.7289080221165,-17.8139416942311,-7.45826057837867,-17.1057945334862,-24.5092186918542,-9.88837353429765,-29.3430070585766,-34.8717872351786,-23.4479429745996
310,20,21204.35,20661.8,21777.3,25582,25066.2,26106.9,156.55,145.05,169.2,52.15,46.8,56.85,4.35,3.2,5.5,1.3,0.7,1.9,80.15,66.55,95.35,0.167101730853395,-6.3664199647283,6.90546954365652,-4.15498600029816,-11.1670449474782,2.44012016738443,-32.6853106223561,-36.3952810694145,-29.1212657695526
