"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,20,31250,31250,31250,31250,31250,31250,25,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,20,29367.15,29332.6,29398.75,27574.9,27515.6,27634.2,24.6,23.9,25.3,24.05,23.35,24.7,0,0,0,0,0,0,0,0,0,-1.6,-4.4,1,-3.8,-6.8,-1.2,0,0,0
20,20,29388,29334.35,29444.5,27723.7,27616.05,27828.35,37.85,35.75,39.95,34.85,32.9,36.8,0,0,0,0,0,0,0,0,0,53.7774233415538,46.6466926793014,61.0144451764017,45.3356058997363,36.966276477146,54.1684963989312,0,0,0
30,20,28399.65,28241.85,28550.05,26234.65,25932.6,26494.2,52.95,49.7,56,48.1,45.7,50.5,0,0,0,0,0,0,0,0,0,40.6031139330749,33.1865228675288,47.0311429846021,38.6299744631152,33.5364364224585,43.5954362152385,0,0,0
40,20,27313.3,27059.7,27553.45,24481.65,24120.85,24820,78.1,72.45,83.55,63.35,60.7,66.4,0,0,0,0,0,0,0,0,0,47.4609246367577,42.5689414673655,52.3892582423264,32.4930032762253,27.8880230444496,37.2781329041555,0,0,0
50,20,25378.25,24989.65,25812.95,22597.1,22232.15,22899.25,108.05,101.15,114.85,84.5,80.2,89.5,0,0,0,0,0,0,0,0,0,39.0293136970517,35.7545847597359,42.1486088252585,33.5173878751746,28.2170917100451,38.573294765363,0,0,0
60,20,23256.6,22726.3,23748,19986.35,19452.3,20508.5,152.95,144.3,162.05,107.8,103.6,112.4,0,0,0,0,0,0,0,0,0,41.6744124615554,39.1926042085869,44.0129870985569,28.327867662548,24.4615291952029,32.2233868956975,0,0,0
70,20,20171.3,19536.8,20764.45,17578.05,17114.7,18005.35,214.45,202.3,228.8,133.05,128.45,137.25,0,0,0,0,0,0,0,0,0,40.3710577926172,38.3836327487611,42.5771887650578,23.825437838909,20.6157097760866,26.9086958815123,0,0,0
80,20,16229.2,15470.2,16953.15,15106.5,14694.6,15508.45,287.5,272.95,301.65,154.75,150.1,159.1,0,0,0,0,0,0,0,0,0,34.5057984252106,32.2121608620925,36.7435403686644,16.536777156362,13.7903353154003,19.0893854388223,0,0,0
90,20,12178.2,11419.05,12920.55,13505.75,13136.5,13876.25,372.55,358.4,385.85,171.3,166.7,176,0,0,0,0,0,0,0,0,0,30.1104496184163,27.3603534059387,32.9044758304396,10.9994299205796,7.80660661201781,14.3731591553735,0,0,0
