"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,20,31250,31250,31250,31250,31250,31250,25,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,20,29377.95,29348.1,29408.45,29992.6,29969.9,30016.2,25.2,24.5,25.9,24.4,23.7,25.15,0,0,0,0,0,0,0,0,0,0.8,-2,3.4,-2.4,-5.2,0.6,0,0,0
20,20,29398.1,29337,29456.75,30043.1,30001.75,30087.35,35.65,34.1,37.35,34.55,32.6,36.4,0,0,0,0,0,0,0,0,0,41.6936590382242,35.8310946702251,48.147940947941,41.7490437501307,33.8840743797265,49.4534408425713,0,0,0
30,20,28583.2,28466.55,28692.8,29533.5,29419.15,29641.85,50.6,48.45,52.7,48.6,46.15,50.95,0,0,0,0,0,0,0,0,0,42.4823460563687,36.7772855806392,48.0670444452726,41.8856941043993,34.1657511545532,49.040936578185,0,0,0
40,20,27472.8,27294.1,27630.95,28813.45,28698.2,28937.55,70.7,67.4,73.85,67.75,64.9,70.55,0,0,0,0,0,0,0,0,0,40.1986374333552,35.3267066913614,45.3301620782222,40.3970868821233,34.9449843779641,46.1842506390433,0,0,0
50,20,25937.35,25715.05,26168.9,27860.15,27702.3,28003.75,103.1,97.9,108.2,95.6,90.5,100.45,0,0,0,0,0,0,0,0,0,45.8959038528764,41.6797370576991,50.1164304051057,41.2055757308314,36.4635488694135,46.087313450865,0,0,0
60,20,23630.45,23261.8,23992.25,26487.15,26238.35,26750.7,145.25,138.55,152.2,133.5,125.95,141.25,0,0,0,0,0,0,0,0,0,41.2047177330305,38.3293720255534,43.9213094443696,39.7991418875886,35.5117422857771,43.7203045492094,0,0,0
70,20,20621.25,20188.2,21068.3,24591.95,24207.75,24948.2,202.2,194.65,209.95,190.25,180.5,199.4,0,0,0,0,0,0,0,0,0,39.608107002442,36.5347877750345,42.7427008730872,42.766304977752,40.0044013361195,46.0971175785395,0,0,0
80,20,16953.9,16482,17434.55,21794.95,21287.35,22270.15,275.1,265.7,283.45,261.8,249.95,274.45,0,0,0,0,0,0,0,0,0,36.3657534236716,33.5599685785967,38.8765260076898,37.9876761698023,35.6107789907798,40.2277207712164,0,0,0
90,20,12831.15,12431.95,13270.15,18451.4,17860.3,19034.5,358.6,348.3,369.1,367,349.4,384.85,0,0,0,0,0,0,0,0,0,30.4819307279334,28.6939145459014,32.3035544469916,40.174277329588,37.9735540548667,42.3549350088599,0,0,0
100,20,9008.95,8620.75,9409.95,13905.7,13237.3,14600.45,429.7,422,436.9,490.55,468.95,512.2,0,0,0,0,0,0,0,0,0,20.1317439945757,17.4622715767861,22.828586322111,33.8122953114959,31.9637831798169,35.5738278695737,0,0,0
110,20,6436.05,6181.3,6707.6,9513.8,8760.9,10275.2,480.75,472.8,488.95,620.95,597.4,641.2,0,0,0,0,0,0,0,0,0,11.9871346674786,9.68605505048394,14.2155067232909,27.0329281627247,24.8493104510624,29.4878599113962,0,0,0
120,20,5024.55,4818.6,5218.4,6086.9,5624.15,6519.45,495.05,490.05,500.1,713.5,699.6,725.1,0,0,0,0,0,0,0,0,0,3.12969515813461,0.882302244002464,5.15980907936774,15.3219813146256,12.7340279343756,18.0136987707885,0,0,0
130,20,4655.05,4481.3,4833.8,4158.55,3986.85,4374.25,502.2,495.6,509.25,764.55,756.3,772.75,0,0,0,0,0,0,0,0,0,1.49087626746858,-0.145551795356694,3.11662662881197,7.26840119348871,5.81609660339568,8.80525771494988,0,0,0
140,20,4527,4267.6,4729.5,3383.25,3256.45,3542.95,509.05,501.7,516.4,778.7,769.9,787.25,0,0,0,0,0,0,0,0,0,1.40016199766915,0.167919783846644,2.67367394453528,1.93463477240471,0.179655784537625,3.80873922234195,0,0,0
150,20,4437.8,4240.05,4609.9,3142.4,3001.25,3284.2,502.65,496.55,508.2,773.25,767.8,778.65,0,0,0,0,0,0,0,0,0,-1.12973821885277,-3.12193681384162,0.868819286413921,-0.623884728615997,-1.99786993312861,1.02355910717862,0,0,0
160,20,4545.65,4420.6,4680.4,3187,3085.6,3287.2,496.35,491.5,500.95,782.75,774.25,790.75,0,0,0,0,0,0,0,0,0,-1.19135242147587,-2.67705357863353,0.107783379769013,1.26679610532873,-0.242497438480886,2.63598063822713,0,0,0
170,20,4715.4,4569,4869.5,3050.3,2880.25,3227.85,497.1,492.65,501.7,782.1,772.65,791,0,0,0,0,0,0,0,0,0,0.186934618186702,-0.88612693656188,1.2535154065366,-0.0418979882905704,-1.49167589407441,1.25417414065611,0,0,0
180,20,4707.35,4577.55,4838.75,3078.65,2933.65,3215,500,493.4,506.85,775.7,768.45,783.4,0,0,0,0,0,0,0,0,0,0.66129526155966,-1.40352522095936,2.70885133546696,-0.735962345810571,-2.18947188828455,0.905582391700914,0,0,0
190,20,4477.4,4280,4675.95,3187.55,3057.15,3306.4,508.05,503.5,513,776.3,768.45,783.9,0,0,0,0,0,0,0,0,0,1.7102034244769,0.0178075935916533,3.24449236523744,0.135130093979337,-1.49687897663125,1.55520515730543,0,0,0
200,20,4310.05,4164.4,4438.85,3144.55,2994.85,3314.05,507.6,498.65,515.6,778.05,771.6,783.55,0,0,0,0,0,0,0,0,0,-0.0197560124814395,-2.19184354022241,2.19067471183132,0.255120699988458,-0.563228696548325,1.10982175851317,0,0,0
210,20,4743.75,4500.35,4988.6,3319.4,3203.2,3447.9,484.3,478.6,490.35,754.2,748.55,760.4,1.35,0.8,1.9,2.2,1.7,2.7,42.05,39.25,44.75,-4.46694299753381,-6.23835905509749,-2.75028247315419,-3.03175751168678,-4.22758712962556,-1.8884389341795,0,0,0
220,20,5425.05,5240.25,5607.3,3805.5,3727.05,3898.55,465.15,455.95,474.8,735.1,725.85,744.4,1.95,1.35,2.6,2.6,1.9,3.3,74.15,67.7,80.8,-3.95365531560475,-5.4782365181002,-2.44806678694155,-2.50104364608478,-3.86080705135336,-1.08294688365195,76.24774967991,67.4510342216538,86.2751716951068
230,20,6272.7,5962.6,6619.25,4167.8,3980.6,4338.45,439.2,433,445.1,710.3,703.95,716.8,4.15,3.2,5.15,4.5,3.5,5.7,128.15,117.55,139.7,-5.46108699914056,-7.16784313076458,-3.88908535516063,-3.32340967375349,-4.37983956763043,-2.14330592604255,73.2514126256853,66.9044051235383,80.4394890456689
240,20,7626.95,7297.75,7979.15,5136.55,4888.5,5371.35,389.2,376.1,400.95,653.95,640.9,667.2,5.75,4.75,6.8,9.05,7.55,10.7,220.3,201.35,237.9,-11.4625015224877,-13.5936435040707,-9.53096261103535,-7.94951729130919,-9.49520791877039,-6.42453260595756,72.4170335855312,68.943319501997,76.2745619899097
250,20,10577.2,9813.75,11344.55,7604.9,7127.65,8115.9,313.1,296.3,331.25,534.55,512,558.3,8.5,6.95,10.1,14.45,13,15.95,348.45,323.7,372.3,-19.7617388466678,-22.285351111619,-17.2990049481247,-18.3656735353076,-20.9782027463296,-15.7205712910056,59.0024278906214,55.7467875562694,62.0476837726877
260,20,15548.1,14541.45,16588.2,12675.45,11559.3,13803.15,193.1,168.65,217.05,344.3,311.3,378.65,9.45,8.25,10.6,17.4,15.7,18.9,493.8,470.1,516.15,-39.4261817816588,-44.0962582277497,-34.6011230973327,-36.2359698778245,-39.5595747506643,-32.8943702278383,43.0611474607143,38.934290272802,47.4550366882251
