"replicate","timeStep","resource1amount","resource2amount","prey1PopulationSize","prey2PopulationSize","prey1catches","prey2catches","predator1PopulationSize","prey1growthRate","prey2growthRate","predatorGrowthRate"
1,0,31250,31250,25,25,0,0,0,0,0,0
1,10,29322,28683,26,27,0,0,0,4,8,0
1,20,29371,28486,34,36,0,0,0,30.7692307692308,33.3333333333333,0
1,30,28662,27625,58,51,0,0,0,70.5882352941177,41.6666666666667,0
1,40,26858,26309,80,77,0,0,0,37.9310344827586,50.9803921568627,0
1,50,25327,23868,117,108,0,0,0,46.25,40.2597402597403,0
1,60,22508,20954,160,144,0,0,0,36.7521367521367,33.3333333333333,0
1,70,19665,17956,218,182,0,0,0,36.25,26.3888888888889,0
1,80,15673,14798,294,261,0,0,0,34.8623853211009,43.4065934065934,0
1,90,11658,10040,386,290,0,0,0,31.2925170068027,11.1111111111111,0
1,100,8180,8799,443,332,0,0,0,14.7668393782383,14.4827586206897,0
1,110,5869,6983,489,333,0,0,0,10.3837471783296,0.301204819277108,0
1,120,4609,6665,494,346,0,0,0,1.02249488752556,3.9039039039039,0
1,130,4464,6168,519,349,0,0,0,5.06072874493927,0.867052023121387,0
1,140,3800,6104,533,377,0,0,0,2.69749518304432,8.02292263610315,0
1,150,3549,5406,490,348,0,0,0,-8.06754221388368,-7.69230769230769,0
1,160,5112,6401,509,357,0,0,0,3.87755102040816,2.58620689655172,0
1,170,4779,6378,503,338,0,0,0,-1.17878192534381,-5.32212885154062,0
1,180,4431,6706,503,361,0,0,0,0,6.80473372781065,0
1,190,4605,6075,488,342,0,0,0,-2.98210735586481,-5.26315789473684,0
1,200,4901,6514,489,347,0,0,0,0.204918032786885,1.46198830409357,0
1,210,5121,6751,504,321,2,0,36,3.06748466257669,-7.49279538904899,0
1,220,4778,7762,473,320,3,1,57,-6.15079365079365,-0.311526479750779,58.3333333333333
1,230,5660,8098,450,319,2,3,88,-4.86257928118393,-0.3125,54.3859649122807
1,240,6696,8805,446,265,2,7,119,-0.888888888888889,-16.9278996865204,35.2272727272727
1,250,7148,11887,398,230,11,4,164,-10.762331838565,-13.2075471698113,37.8151260504202
1,260,9398,14863,335,177,15,6,219,-15.8291457286432,-23.0434782608696,33.5365853658537
1,270,12655,18668,272,125,9,4,263,-18.8059701492537,-29.3785310734463,20.0913242009132
1,280,17368,21267,169,118,10,4,231,-37.8676470588235,-5.6,-12.1673003802281
1,290,22023,22730,114,69,8,2,180,-32.5443786982249,-41.5254237288136,-22.0779220779221
1,300,24505,26361,91,52,3,3,99,-20.1754385964912,-24.6376811594203,-45
1,310,25285,26886,108,52,1,0,48,18.6813186813187,0,-51.5151515151515
1,320,23711,26279,137,66,0,1,21,26.8518518518519,26.9230769230769,-56.25
1,330,21635,24789,167,87,0,0,14,21.8978102189781,31.8181818181818,-33.3333333333333
1,340,19493,22886,247,121,1,0,11,47.9041916167665,39.0804597701149,-21.4285714285714
1,350,14918,20250,299,152,0,0,15,21.0526315789474,25.6198347107438,36.3636363636364
1,360,11995,17337,365,209,1,0,18,22.0735785953177,37.5,20
1,370,9039,13557,405,241,1,1,26,10.958904109589,15.311004784689,44.4444444444444
1,380,7951,12147,447,262,2,3,46,10.3703703703704,8.71369294605809,76.9230769230769
1,390,6260,10055,460,269,5,3,64,2.9082774049217,2.67175572519084,39.1304347826087
1,400,6290,10505,412,275,3,5,99,-10.4347826086957,2.23048327137546,54.6875
1,410,8130,11045,404,273,4,5,136,-1.94174757281553,-0.727272727272727,37.3737373737374
1,420,8848,11521,354,230,8,6,189,-12.3762376237624,-15.7509157509158,38.9705882352941
1,430,11881,14280,292,181,10,7,252,-17.5141242937853,-21.304347826087,33.3333333333333
1,440,16048,18410,181,119,9,8,302,-38.013698630137,-34.2541436464088,19.8412698412698
1,450,21642,23455,118,69,9,1,210,-34.8066298342541,-42.0168067226891,-30.4635761589404
1,460,24333,26278,87,44,4,1,109,-26.271186440678,-36.231884057971,-48.0952380952381
1,470,25430,27438,92,40,2,2,48,5.74712643678161,-9.09090909090909,-55.9633027522936
1,480,24763,27567,124,39,2,2,27,34.7826086956522,-2.5,-43.75
1,490,22144,27635,161,53,0,1,10,29.8387096774194,35.8974358974359,-62.962962962963
1,500,19920,26140,228,78,0,0,4,41.6149068322981,47.1698113207547,-60
1,510,15566,23741,328,103,0,0,4,43.859649122807,32.0512820512821,0
1,520,10587,21273,385,159,0,0,4,17.3780487804878,54.3689320388349,0
1,530,7960,16977,438,188,1,0,5,13.7662337662338,18.2389937106918,25
1,540,6353,14277,479,244,2,0,6,9.36073059360731,29.7872340425532,20
1,550,5341,11257,471,287,2,1,11,-1.67014613778706,17.6229508196721,83.3333333333333
1,560,5048,9155,487,310,1,1,19,3.39702760084926,8.01393728222997,72.7272727272727
1,570,5364,7715,475,340,0,0,24,-2.46406570841889,9.67741935483871,26.3157894736842
1,580,5987,7203,445,320,2,1,33,-6.31578947368421,-5.88235294117647,37.5
1,590,6463,7867,470,326,3,0,40,5.61797752808989,1.875,21.2121212121212
1,600,5813,7950,475,307,1,0,74,1.06382978723404,-5.82822085889571,85
1,610,6189,8597,456,304,9,2,121,-4,-0.977198697068404,63.5135135135135
1,620,7111,9937,369,253,12,4,178,-19.0789473684211,-16.7763157894737,47.1074380165289
1,630,10656,12596,314,208,10,5,226,-14.9051490514905,-17.7865612648221,26.9662921348315
1,640,14359,16629,199,155,16,3,270,-36.6242038216561,-25.4807692307692,19.4690265486726
1,650,20795,20006,138,122,12,9,232,-30.6532663316583,-21.2903225806452,-14.0740740740741
1,660,23744,22672,99,82,4,3,166,-28.2608695652174,-32.7868852459016,-28.448275862069
1,670,25617,24681,81,86,2,3,82,-18.1818181818182,4.8780487804878,-50.6024096385542
1,680,25671,23667,82,94,5,2,49,1.23456790123457,9.30232558139535,-40.2439024390244
1,690,25414,22839,113,114,0,0,27,37.8048780487805,21.2765957446809,-44.8979591836735
1,700,23017,20322,138,162,0,0,15,22.1238938053097,42.1052631578947,-44.4444444444444
1,710,21558,16968,186,193,1,1,13,34.7826086956522,19.1358024691358,-13.3333333333333
1,720,18100,14337,248,231,0,0,8,33.3333333333333,19.6891191709845,-38.4615384615385
1,730,14063,12438,323,270,0,1,13,30.241935483871,16.8831168831169,62.5
1,740,10891,10410,383,304,0,0,23,18.5758513931889,12.5925925925926,76.9230769230769
1,750,8294,8638,443,322,5,3,37,15.6657963446475,5.92105263157895,60.8695652173913
1,760,6903,8014,444,300,3,2,46,0.225733634311512,-6.83229813664596,24.3243243243243
1,770,6233,9070,443,287,4,1,64,-0.225225225225225,-4.33333333333333,39.1304347826087
1,780,6536,9791,432,312,4,2,101,-2.48306997742664,8.71080139372822,57.8125
1,790,7621,9576,391,254,4,8,160,-9.49074074074074,-18.5897435897436,58.4158415841584
1,800,9771,12413,374,218,9,1,200,-4.34782608695652,-14.1732283464567,25
1,810,11265,15410,296,160,8,5,276,-20.855614973262,-26.605504587156,38
1,820,15234,20063,197,110,18,6,286,-33.4459459459459,-31.25,3.6231884057971
1,830,20827,23729,115,61,9,6,225,-41.6243654822335,-44.5454545454545,-21.3286713286713
1,840,24837,26627,69,41,5,2,120,-40,-32.7868852459016,-46.6666666666667
1,850,26888,27464,76,51,1,1,45,10.1449275362319,24.390243902439,-62.5
1,860,25846,26224,88,64,0,1,15,15.7894736842105,25.4901960784314,-66.6666666666667
1,870,24837,25167,132,75,0,0,11,50,17.1875,-26.6666666666667
1,880,21636,23934,183,106,1,0,6,38.6363636363636,41.3333333333333,-45.4545454545455
1,890,18290,21179,226,143,0,0,4,23.4972677595628,34.9056603773585,-33.3333333333333
1,900,15315,17678,319,206,0,0,2,41.1504424778761,44.0559440559441,-50
1,910,10407,13194,393,256,0,0,3,23.1974921630094,24.2718446601942,50
1,920,7807,10658,436,299,0,0,8,10.941475826972,16.796875,166.666666666667
1,930,6193,9109,504,323,0,0,9,15.5963302752294,8.02675585284281,12.5
1,940,4791,7450,492,325,0,0,9,-2.38095238095238,0.619195046439629,0
1,950,5262,7322,490,348,0,0,15,-0.40650406504065,7.07692307692308,66.6666666666667
1,960,5130,6817,440,341,3,2,27,-10.2040816326531,-2.01149425287356,80
1,970,6344,6812,477,321,1,0,39,8.40909090909091,-5.86510263929619,44.4444444444444
1,980,5197,7856,482,311,2,3,70,1.0482180293501,-3.11526479750779,79.4871794871795
1,990,5446,8431,448,300,8,2,112,-7.05394190871369,-3.53697749196141,60
1,1000,6880,9954,405,257,6,4,182,-9.59821428571429,-14.3333333333333,62.5
2,0,31250,31250,25,25,0,0,0,0,0,0
2,10,29456,28531,26,25,0,0,0,4,0,0
2,20,29303,28715,32,42,0,0,0,23.0769230769231,68,0
2,30,28888,27129,54,57,0,0,0,68.75,35.7142857142857,0
2,40,27223,25683,66,81,0,0,0,22.2222222222222,42.1052631578947,0
2,50,26413,23352,89,111,0,0,0,34.8484848484849,37.037037037037,0
2,60,24378,20861,135,166,0,0,0,51.685393258427,49.5495495495495,0
2,70,21462,16468,181,192,0,0,0,34.0740740740741,15.6626506024096,0
2,80,18593,14242,241,247,0,0,0,33.1491712707182,28.6458333333333,0
2,90,14814,10765,330,309,0,0,0,36.9294605809129,25.1012145748988,0
2,100,10169,8512,402,317,0,0,0,21.8181818181818,2.58899676375405,0
2,110,7089,7180,467,317,0,0,0,16.1691542288557,0,0
2,120,5432,7479,477,328,0,0,0,2.14132762312634,3.47003154574133,0
2,130,4756,7154,531,355,0,0,0,11.3207547169811,8.23170731707317,0
2,140,4337,6344,486,358,0,0,0,-8.47457627118644,0.845070422535211,0
2,150,5058,6174,478,360,0,0,0,-1.64609053497942,0.558659217877095,0
2,160,4996,5960,489,343,0,0,0,2.30125523012552,-4.72222222222222,0
2,170,5159,6198,506,356,0,0,0,3.47648261758691,3.79008746355685,0
2,180,4319,5881,513,353,0,0,0,1.38339920948617,-0.842696629213483,0
2,190,4355,6574,498,348,0,0,0,-2.92397660818713,-1.41643059490085,0
2,200,4514,6187,473,351,0,0,0,-5.02008032128514,0.862068965517241,0
2,210,5710,6579,460,340,2,0,40,-2.74841437632135,-3.13390313390313,0
2,220,5894,7185,467,325,1,1,58,1.52173913043478,-4.41176470588235,45
2,230,6123,8441,435,324,4,2,86,-6.85224839400428,-0.307692307692308,48.2758620689655
2,240,7007,8806,421,280,6,6,117,-3.2183908045977,-13.5802469135802,36.046511627907
2,250,8247,10388,373,259,7,4,170,-11.4014251781473,-7.5,45.2991452991453
2,260,10998,12923,323,200,12,5,229,-13.4048257372654,-22.7799227799228,34.7058823529412
2,270,13576,17148,230,142,8,11,259,-28.7925696594427,-29,13.1004366812227
2,280,18980,20841,154,83,8,3,235,-33.0434782608696,-41.5492957746479,-9.26640926640927
2,290,22818,25272,102,61,7,5,157,-33.7662337662338,-26.5060240963855,-33.1914893617021
2,300,24928,26520,92,56,4,2,95,-9.80392156862745,-8.19672131147541,-39.4904458598726
2,310,24839,26607,99,55,2,1,48,7.60869565217391,-1.78571428571429,-49.4736842105263
2,320,24366,26437,125,55,1,1,24,26.2626262626263,0,-50
2,330,22458,25871,161,79,1,0,13,28.8,43.6363636363636,-45.8333333333333
2,340,19511,23679,226,108,1,0,10,40.3726708074534,36.7088607594937,-23.0769230769231
2,350,15604,20882,310,164,0,0,8,37.1681415929204,51.8518518518519,-20
2,360,10969,16453,369,192,1,0,10,19.0322580645161,17.0731707317073,25
