"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,20,31250,31250,31250,31250,31250,31250,25,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,20,29356.55,29333.7,29379.4,29342,29310.05,29370.9,24.9,24.2,25.8,25.6,24.8,26.45,0,0,0,0,0,0,0,0,0,-0.4,-3.2,3.4,2.4,-0.8,5.6,0,0,0
20,20,29366.2,29288.3,29439.3,29346.05,29265.05,29417.15,38.45,35.85,41.2,37.2,34.85,39.75,0,0,0,0,0,0,0,0,0,54.5069647912214,45.1454567976307,63.9075637429424,45.2528470321949,36.5145250482207,52.8741059664973,0,0,0
30,20,28323,28097.65,28527.15,28470.15,28279.4,28665.35,55.1,51.35,59.2,53.5,50.25,56.45,0,0,0,0,0,0,0,0,0,43.5401452776204,39.1394034421969,48.5119573373993,44.7550949027398,38.4629513299655,50.7547504694137,0,0,0
40,20,27106.85,26795.15,27389,27256.5,27001.4,27490.7,79.45,73.8,85.4,76.05,71.55,79.95,0,0,0,0,0,0,0,0,0,44.4426088082906,39.8950059341451,49.1412772238538,43.0056875585231,37.3039954157228,48.6428890816006,0,0,0
50,20,25311.45,24828.75,25734.25,25617.05,25296.9,25948.6,111.85,104,120,110,103.35,116.25,0,0,0,0,0,0,0,0,0,41.0763267260675,37.5803349972541,44.7326058034776,45.0477856918777,39.9401671566947,50.381647388519,0,0,0
60,20,22989.3,22392.95,23523.95,23086.4,22651.6,23576.75,160.65,149.4,172.4,156.9,148.15,165.6,0,0,0,0,0,0,0,0,0,43.9677310098215,40.1161799795157,47.659431019833,43.0380354007266,38.9173129536031,47.1430166776547,0,0,0
70,20,19573.15,18823.25,20315.05,19845.2,19239.9,20447.95,222.15,208.05,237.05,216.5,203.65,228.7,0,0,0,0,0,0,0,0,0,38.5747871678186,35.4200840654936,41.8078655843051,37.9547650709314,35.3232723664383,40.7028751557483,0,0,0
80,20,15746.15,14877.9,16622.5,16100.6,15325.85,16822.85,301.2,283.6,320.1,291.9,276.45,305.35,0,0,0,0,0,0,0,0,0,36.1346520932165,33.086480398012,39.1787014070308,35.4461301205336,31.9581254526516,38.5194056144617,0,0,0
90,20,11483.05,10516.9,12402.35,12086.4,11422.05,12817.45,380.85,364.8,396,370.5,357.05,383.25,0,0,0,0,0,0,0,0,0,27.3191715690544,23.6726193888448,31.4216189346414,27.3304785075523,25.2861526926538,29.5841739570431,0,0,0
100,20,8131,7496.7,8797.9,8708,8148.45,9303.65,445.5,433.55,457.95,435.75,422.4,447.25,0,0,0,0,0,0,0,0,0,17.5838925369219,14.0978192225362,21.5825682156177,17.860850103559,16.2659699559667,19.6560742693693,0,0,0
110,20,6091.6,5655.6,6516.8,6405.5,6004.15,6813.7,483.8,475.35,492.35,477.5,470.9,483.65,0,0,0,0,0,0,0,0,0,8.91674841353409,6.17004435929419,11.5406028565299,9.94947182896651,7.3782935623147,12.705588658656,0,0,0
120,20,5017.75,4776.5,5281.7,5133,4919.25,5364.2,495.15,489.3,501.1,495.15,487.7,503.05,0,0,0,0,0,0,0,0,0,2.51199754488066,0.445632522162104,4.77108150708186,3.78115728383609,1.87644828443797,5.81213761828631,0,0,0
130,20,4665.3,4454.5,4858.85,4770.15,4523.85,5024.75,498.45,492.1,505.05,500,491.3,509.25,0,0,0,0,0,0,0,0,0,0.722403444854768,-0.793882025335095,2.15504583435704,1.05975446216343,-1.05264372814681,3.01480702820164,0,0,0
140,20,4557.75,4348.75,4774.95,4600.7,4369.2,4853.15,504.65,498.8,511.1,502.55,496.75,508.2,0,0,0,0,0,0,0,0,0,1.32769827406582,-0.405798182467513,3.11148728341502,0.693904822913319,-1.5261228224991,2.8880113935027,0,0,0
150,20,4499.3,4332.8,4661,4583.5,4370.45,4793.15,502.85,495.25,511,501.35,495.9,506.9,0,0,0,0,0,0,0,0,0,-0.24381967527286,-2.67456888227061,2.02214522031101,-0.20954740555752,-1.20597032572715,0.737043591304477,0,0,0
160,20,4451.35,4234.65,4661.5,4594.7,4449.55,4738.95,506.45,499.25,514.2,503.95,498.55,509.35,0,0,0,0,0,0,0,0,0,0.836632521476943,-1.31262559353878,2.6974947014634,0.606939846723628,-1.26250987169763,2.47147953122861,0,0,0
170,20,4562.4,4323.45,4757.85,4575.9,4396.85,4748.6,500.7,493.65,507.65,501.7,494.2,508.55,0,0,0,0,0,0,0,0,0,-1.01430694777756,-3.08254739801631,1.13539858893404,-0.399170827314303,-1.90830521659868,1.30827429719547,0,0,0
