"replicate","timeStep","resource1amount","resource2amount","prey1PopulationSize","prey2PopulationSize","prey1catches","prey2catches","predator1PopulationSize","prey1growthRate","prey2growthRate","predatorGrowthRate"
1,0,31250,31250,25,25,0,0,0,0,0,0
1,10,29413,27344,25,25,0,0,0,0,0,0
1,20,29276,27567,42,42,0,0,0,68,68,0
1,30,28078,24911,49,55,0,0,0,16.6666666666667,30.952380952381,0
1,40,27596,23512,82,68,0,0,0,67.3469387755102,23.6363636363636,0
1,50,25182,21681,108,101,0,0,0,31.7073170731707,48.5294117647059,0
1,60,23426,18106,149,125,0,0,0,37.962962962963,23.7623762376238,0
1,70,20426,15916,222,145,0,0,0,48.993288590604,16,0
1,80,15373,13877,293,168,0,0,0,31.981981981982,15.8620689655172,0
1,90,11607,12774,403,163,0,0,0,37.542662116041,-2.97619047619048,0
1,100,7562,13030,470,186,0,0,0,16.6253101736973,14.1104294478528,0
1,110,5089,10874,472,187,0,0,0,0.425531914893617,0.537634408602151,0
1,120,5400,10566,486,202,0,0,0,2.96610169491525,8.02139037433155,0
1,130,4731,9971,518,195,0,0,0,6.5843621399177,-3.46534653465347,0
1,140,4508,10780,482,197,0,0,0,-6.94980694980695,1.02564102564103,0
1,150,4825,10423,470,189,0,0,0,-2.4896265560166,-4.06091370558376,0
1,160,4658,10936,513,201,0,0,0,9.14893617021277,6.34920634920635,0
1,170,4207,10008,519,183,0,0,0,1.16959064327485,-8.95522388059701,0
1,180,4137,11157,522,202,0,0,0,0.578034682080925,10.3825136612022,0
1,190,4601,9636,484,194,0,0,0,-7.27969348659004,-3.96039603960396,0
1,200,5034,9979,489,214,0,0,0,1.03305785123967,10.3092783505155,0
1,210,4853,9666,484,192,3,2,38,-1.02249488752556,-10.2803738317757,0
1,220,5272,10658,459,180,1,1,49,-5.16528925619835,-6.25,28.9473684210526
1,230,6018,12155,445,175,7,1,71,-3.05010893246187,-2.77777777777778,44.8979591836735
1,240,7320,13033,425,145,5,2,104,-4.49438202247191,-17.1428571428571,46.4788732394366
1,250,8072,15003,388,130,3,1,131,-8.70588235294118,-10.3448275862069,25.9615384615385
1,260,9496,18017,331,97,10,5,171,-14.6907216494845,-25.3846153846154,30.5343511450382
1,270,12349,19506,291,99,1,4,169,-12.0845921450151,2.06185567010309,-1.16959064327485
1,280,14413,20139,250,93,15,2,149,-14.0893470790378,-6.06060606060606,-11.8343195266272
1,290,16425,21255,228,63,4,4,142,-8.8,-32.258064516129,-4.69798657718121
1,300,17499,24264,194,60,7,0,131,-14.9122807017544,-4.76190476190476,-7.74647887323944
1,310,19360,23597,188,58,2,1,87,-3.09278350515464,-3.33333333333333,-33.587786259542
1,320,18681,24039,210,60,4,1,57,11.7021276595745,3.44827586206897,-34.4827586206897
1,330,17761,23554,232,60,3,0,48,10.4761904761905,0,-15.7894736842105
1,340,16205,23831,246,78,3,1,63,6.03448275862069,30,31.25
1,350,15310,21555,273,81,5,1,53,10.9756097560976,3.84615384615385,-15.8730158730159
1,360,14101,20940,318,82,1,2,59,16.4835164835165,1.23456790123457,11.3207547169811
1,370,11727,21029,346,84,5,2,62,8.80503144654088,2.4390243902439,5.08474576271186
1,380,10734,20549,342,90,3,1,91,-1.15606936416185,7.14285714285714,46.7741935483871
1,390,11107,20463,343,101,7,1,92,0.292397660818713,12.2222222222222,1.0989010989011
1,400,11139,20608,338,83,5,4,120,-1.45772594752187,-17.8217821782178,30.4347826086957
1,410,11207,21297,350,72,6,3,114,3.55029585798817,-13.2530120481928,-5
1,420,11299,22538,310,73,8,0,113,-11.4285714285714,1.38888888888889,-0.87719298245614
1,430,12788,22588,294,69,4,1,124,-5.16129032258065,-5.47945205479452,9.73451327433628
1,440,13453,23127,301,65,11,1,132,2.38095238095238,-5.79710144927536,6.45161290322581
1,450,13454,23960,260,55,10,3,142,-13.6212624584718,-15.3846153846154,7.57575757575758
1,460,15181,24089,269,45,5,3,113,3.46153846153846,-18.1818181818182,-20.4225352112676
1,470,14794,25411,249,50,7,1,82,-7.43494423791822,11.1111111111111,-27.4336283185841
1,480,15613,24476,253,55,3,0,87,1.60642570281124,10,6.09756097560976
1,490,15329,24184,270,53,5,3,74,6.71936758893281,-3.63636363636364,-14.9425287356322
1,500,14065,24219,316,64,1,1,52,17.037037037037,20.7547169811321,-29.7297297297297
1,510,11850,22603,349,78,3,3,55,10.4430379746835,21.875,5.76923076923077
1,520,10208,21395,361,84,6,2,66,3.43839541547278,7.69230769230769,20
1,530,9922,21159,382,80,3,1,70,5.81717451523546,-4.76190476190476,6.06060606060606
1,540,8867,21312,387,100,6,1,73,1.30890052356021,25,4.28571428571429
1,550,9085,19088,404,98,4,2,74,4.39276485788114,-2,1.36986301369863
1,560,8638,19308,367,101,8,2,91,-9.15841584158416,3.06122448979592,22.972972972973
1,570,9964,19636,361,93,7,1,114,-1.63487738419619,-7.92079207920792,25.2747252747253
1,580,10553,19858,348,89,2,5,138,-3.601108033241,-4.3010752688172,21.0526315789474
1,590,10914,22109,313,64,6,3,170,-10.0574712643678,-28.0898876404494,23.1884057971014
1,600,13666,24884,297,50,5,1,152,-5.11182108626198,-21.875,-10.5882352941176
1,610,14558,26042,262,36,6,2,136,-11.7845117845118,-28,-10.5263157894737
1,620,16157,26882,220,35,6,0,126,-16.030534351145,-2.77777777777778,-7.35294117647059
1,630,17576,26630,224,40,5,0,87,1.81818181818182,14.2857142857143,-30.952380952381
1,640,17447,25852,217,41,2,1,79,-3.125,2.5,-9.19540229885057
1,650,17207,26287,226,34,7,0,57,4.14746543778802,-17.0731707317073,-27.8481012658228
1,660,16224,27242,278,41,3,0,51,23.0088495575221,20.5882352941176,-10.5263157894737
1,670,13721,25742,310,45,3,2,46,11.5107913669065,9.75609756097561,-9.80392156862745
1,680,11889,25587,325,45,3,0,41,4.83870967741935,0,-10.8695652173913
1,690,10620,25057,371,57,2,0,37,14.1538461538462,26.6666666666667,-9.75609756097561
1,700,9325,23947,447,71,3,0,41,20.4851752021563,24.5614035087719,10.8108108108108
1,710,6116,22032,448,74,2,0,53,0.223713646532438,4.22535211267606,29.2682926829268
1,720,7393,21465,406,92,1,1,57,-9.375,24.3243243243243,7.54716981132075
1,730,8138,19860,400,89,1,2,65,-1.47783251231527,-3.26086956521739,14.0350877192982
1,740,8333,20185,418,91,3,1,74,4.5,2.24719101123596,13.8461538461538
1,750,7119,20365,452,106,7,1,76,8.13397129186603,16.4835164835165,2.7027027027027
1,760,6576,19434,425,95,6,1,96,-5.97345132743363,-10.377358490566,26.3157894736842
1,770,7909,19941,408,91,5,2,121,-4,-4.21052631578947,26.0416666666667
1,780,9003,20417,344,77,15,3,170,-15.6862745098039,-15.3846153846154,40.495867768595
1,790,12087,23031,317,59,10,2,171,-7.84883720930233,-23.3766233766234,0.588235294117647
1,800,12937,24001,253,55,8,0,162,-20.1892744479495,-6.77966101694915,-5.26315789473684
1,810,16593,25071,223,44,6,0,152,-11.8577075098814,-20,-6.17283950617284
1,820,18066,26306,200,33,3,2,98,-10.3139013452915,-25,-35.5263157894737
1,830,18442,27700,200,22,2,1,86,0,-33.3333333333333,-12.2448979591837
1,840,18455,28274,195,27,3,0,62,-2.5,22.7272727272727,-27.906976744186
1,850,18512,27636,259,32,3,0,36,32.8205128205128,18.5185185185185,-41.9354838709677
1,860,14492,26990,294,39,3,0,34,13.5135135135135,21.875,-5.55555555555556
1,870,12259,25896,347,54,4,0,37,18.0272108843537,38.4615384615385,8.82352941176471
1,880,10010,24239,392,48,2,2,42,12.9682997118156,-11.1111111111111,13.5135135135135
1,890,8483,24801,420,69,1,1,46,7.14285714285714,43.75,9.52380952380952
1,900,6930,22848,447,78,2,2,49,6.42857142857143,13.0434782608696,6.52173913043478
1,910,6937,20469,412,103,6,0,62,-7.82997762863535,32.0512820512821,26.530612244898
1,920,7629,18918,397,102,2,1,69,-3.64077669902913,-0.970873786407767,11.2903225806452
1,930,8323,18777,428,107,7,0,81,7.80856423173804,4.90196078431373,17.3913043478261
1,940,7325,18701,408,97,4,0,98,-4.67289719626168,-9.34579439252336,20.9876543209877
1,950,8387,19149,365,103,8,0,116,-10.5392156862745,6.18556701030928,18.3673469387755
1,960,10003,19885,361,90,5,3,130,-1.0958904109589,-12.621359223301,12.0689655172414
1,970,10571,20581,344,84,9,3,135,-4.70914127423823,-6.66666666666667,3.84615384615385
1,980,12263,21791,307,77,8,0,158,-10.7558139534884,-8.33333333333333,17.037037037037
1,990,13449,22716,256,62,13,1,145,-16.6123778501629,-19.4805194805195,-8.22784810126582
1,1000,15867,24232,246,54,8,5,127,-3.90625,-12.9032258064516,-12.4137931034483
2,0,31250,31250,25,25,0,0,0,0,0,0
2,10,29416,27402,23,27,0,0,0,-8,8,0
2,20,29483,27242,35,34,0,0,0,52.1739130434783,25.9259259259259,0
2,30,28505,26360,54,49,0,0,0,54.2857142857143,44.1176470588235,0
2,40,27214,24195,74,63,0,0,0,37.037037037037,28.5714285714286,0
2,50,25663,22302,104,96,0,0,0,40.5405405405405,52.3809523809524,0
2,60,23510,18445,160,124,0,0,0,53.8461538461538,29.1666666666667,0
2,70,19810,15560,220,150,0,0,0,37.5,20.9677419354839,0
2,80,15403,13269,287,175,0,0,0,30.4545454545455,16.6666666666667,0
2,90,12050,11937,375,192,0,0,0,30.6620209059233,9.71428571428571,0
2,100,8098,10593,458,187,0,0,0,22.1333333333333,-2.60416666666667,0
2,110,5704,10730,479,196,0,0,0,4.58515283842795,4.81283422459893,0
2,120,5060,10074,495,195,0,0,0,3.34029227557411,-0.510204081632653,0
2,130,4572,10316,515,191,0,0,0,4.04040404040404,-2.05128205128205,0
2,140,4165,10450,492,205,0,0,0,-4.46601941747573,7.32984293193717,0
2,150,4483,10056,501,208,0,0,0,1.82926829268293,1.46341463414634,0
2,160,4636,9978,480,192,0,0,0,-4.19161676646707,-7.69230769230769,0
2,170,4784,10174,515,194,0,0,0,7.29166666666667,1.04166666666667,0
2,180,3894,10350,520,188,0,0,0,0.970873786407767,-3.09278350515464,0
2,190,4056,10770,508,197,0,0,0,-2.30769230769231,4.78723404255319,0
2,200,4736,10518,501,201,0,0,0,-1.37795275590551,2.03045685279188,0
2,210,4533,10524,494,170,0,3,34,-1.39720558882236,-15.4228855721393,0
2,220,5531,12545,455,163,4,0,48,-7.89473684210526,-4.11764705882353,41.1764705882353
2,230,6103,13040,440,168,3,1,64,-3.2967032967033,3.06748466257669,33.3333333333333
2,240,6764,12654,430,157,9,1,90,-2.27272727272727,-6.54761904761905,40.625
2,250,7216,14181,401,135,6,3,110,-6.74418604651163,-14.0127388535032,22.2222222222222
2,260,8793,15954,355,147,7,1,146,-11.4713216957606,8.88888888888889,32.7272727272727
2,270,11209,16448,320,92,7,6,170,-9.85915492957746,-37.4149659863946,16.4383561643836
2,280,13302,21231,266,73,9,3,169,-16.875,-20.6521739130435,-0.588235294117647
2,290,15913,22889,210,68,9,1,155,-21.0526315789474,-6.84931506849315,-8.28402366863905
2,300,18636,23611,195,51,11,1,114,-7.14285714285714,-25,-26.4516129032258
2,310,18991,24752,180,57,4,2,88,-7.69230769230769,11.7647058823529,-22.8070175438597
2,320,19648,24139,196,58,1,2,66,8.88888888888889,1.75438596491228,-25
2,330,18468,23367,232,65,1,1,43,18.3673469387755,12.0689655172414,-34.8484848484849
2,340,16045,22747,249,72,2,2,39,7.32758620689655,10.7692307692308,-9.30232558139535
2,350,14960,21963,291,92,4,1,44,16.8674698795181,27.7777777777778,12.8205128205128
2,360,12618,20512,332,84,5,4,50,14.0893470790378,-8.69565217391304,13.6363636363636
2,370,10284,20331,374,99,2,0,46,12.6506024096386,17.8571428571429,-8
2,380,9541,18460,411,119,3,0,53,9.89304812834225,20.2020202020202,15.2173913043478
2,390,7524,17604,423,124,4,0,61,2.91970802919708,4.20168067226891,15.0943396226415
2,400,7597,17030,388,125,4,3,92,-8.274231678487,0.806451612903226,50.8196721311475
2,410,9328,17092,376,114,8,1,108,-3.09278350515464,-8.8,17.3913043478261
2,420,9737,18616,385,103,7,1,130,2.3936170212766,-9.64912280701754,20.3703703703704
2,430,9791,19815,329,89,10,2,155,-14.5454545454545,-13.5922330097087,19.2307692307692
2,440,12616,20893,285,69,6,2,160,-13.3738601823708,-22.4719101123596,3.2258064516129
2,450,14555,23189,263,65,11,3,136,-7.71929824561404,-5.79710144927536,-15
2,460,15216,23821,272,53,3,2,107,3.42205323193916,-18.4615384615385,-21.3235294117647
2,470,14363,24828,281,50,4,2,74,3.30882352941176,-5.66037735849057,-30.8411214953271
2,480,13875,24693,279,61,4,0,78,-0.711743772241993,22,5.40540540540541
2,490,13735,23794,313,53,5,0,78,12.1863799283154,-13.1147540983607,0
2,500,11728,24347,336,58,8,2,89,7.3482428115016,9.43396226415094,14.1025641025641
2,510,10644,23830,336,57,9,0,97,0,-1.72413793103448,8.98876404494382
2,520,11286,24160,349,52,4,1,86,3.86904761904762,-8.7719298245614,-11.340206185567
2,530,11104,23841,336,68,2,2,92,-3.72492836676218,30.7692307692308,6.97674418604651
2,540,11004,22847,322,69,6,3,100,-4.16666666666667,1.47058823529412,8.69565217391304
2,550,11679,23070,324,59,7,1,105,0.62111801242236,-14.4927536231884,5
2,560,11992,23262,319,60,9,1,113,-1.54320987654321,1.69491525423729,7.61904761904762
2,570,12324,23816,327,60,7,1,116,2.50783699059561,0,2.65486725663717
2,580,12482,23725,293,61,7,0,101,-10.3975535168196,1.66666666666667,-12.9310344827586
2,590,13887,23515,294,56,4,1,101,0.341296928327645,-8.19672131147541,0
2,600,13342,24678,279,54,11,0,105,-5.10204081632653,-3.57142857142857,3.96039603960396
2,610,14226,25002,283,49,6,2,105,1.4336917562724,-9.25925925925926,0
2,620,13840,24779,297,50,11,1,84,4.9469964664311,2.04081632653061,-20
2,630,13023,25245,301,55,4,0,74,1.34680134680135,10,-11.9047619047619
2,640,12631,24095,314,56,7,0,74,4.31893687707641,1.81818181818182,0
2,650,11894,24376,362,57,7,0,78,15.2866242038217,1.78571428571429,5.40540540540541
2,660,10204,24122,355,69,7,0,87,-1.93370165745856,21.0526315789474,11.5384615384615
2,670,11010,23119,367,67,3,0,102,3.38028169014085,-2.89855072463768,17.2413793103448
2,680,9814,23285,350,65,9,0,110,-4.63215258855586,-2.98507462686567,7.84313725490196
2,690,10995,23407,309,59,7,2,105,-11.7142857142857,-9.23076923076923,-4.54545454545455
2,700,12845,24195,320,56,5,1,110,3.55987055016181,-5.08474576271186,4.76190476190476
2,710,12184,23917,327,62,9,0,98,2.1875,10.7142857142857,-10.9090909090909
2,720,11949,23956,314,65,4,0,109,-3.97553516819572,4.83870967741935,11.2244897959184
2,730,12951,23427,305,53,5,5,114,-2.86624203821656,-18.4615384615385,4.58715596330275
2,740,13203,25003,291,50,5,1,100,-4.59016393442623,-5.66037735849057,-12.280701754386
2,750,13794,25372,298,43,6,2,96,2.40549828178694,-14,-4
2,760,13343,25439,295,51,5,0,91,-1.00671140939597,18.6046511627907,-5.20833333333333
2,770,13375,24650,267,48,5,2,93,-9.49152542372881,-5.88235294117647,2.1978021978022
2,780,14613,25406,306,63,8,0,76,14.6067415730337,31.25,-18.2795698924731
2,790,12612,22480,313,69,2,2,65,2.28758169934641,9.52380952380952,-14.4736842105263
2,800,11581,22205,331,75,5,0,66,5.75079872204473,8.69565217391304,1.53846153846154
2,810,11266,21363,355,93,7,1,81,7.25075528700906,24,22.7272727272727
2,820,10089,20111,354,93,9,2,82,-0.28169014084507,0,1.23456790123457
2,830,9979,19776,364,110,9,0,86,2.82485875706215,18.2795698924731,4.8780487804878
2,840,9816,18341,351,100,10,2,99,-3.57142857142857,-9.09090909090909,15.1162790697674
2,850,10483,19448,334,100,8,3,111,-4.84330484330484,0,12.1212121212121
2,860,11228,19404,336,92,5,1,108,0.598802395209581,-8,-2.7027027027027
2,870,10884,20249,352,98,8,2,110,4.76190476190476,6.52173913043478,1.85185185185185
2,880,10916,19458,333,98,8,2,121,-5.39772727272727,0,10
2,890,11832,20079,303,81,8,4,132,-9.00900900900901,-17.3469387755102,9.09090909090909
2,900,13039,21424,309,77,7,2,133,1.98019801980198,-4.93827160493827,0.757575757575758
2,910,12969,22039,279,64,7,2,127,-9.70873786407767,-16.8831168831169,-4.51127819548872
2,920,14110,23557,266,72,9,0,111,-4.6594982078853,12.5,-12.5984251968504
2,930,15053,23237,258,54,5,1,110,-3.00751879699248,-25,-0.900900900900901
2,940,14978,25025,274,52,4,1,84,6.2015503875969,-3.7037037037037,-23.6363636363636
