"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,10,62500,62500,62500,62500,62500,62500,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,57482,57438.8,57517.7,57530.3,57466.1,57597.8,99.4,97.7,101.2,96.9,95.3,98.5,0,0,0,0,0,0,0,0,0,-0.6,-2.2,1.2,-3.1,-4.7,-1.4,0,0,0
20,10,57551.8,57464.2,57624.7,57633.1,57511.2,57746.1,143.9,141.5,146.4,139.8,132.5,147.4,0,0,0,0,0,0,0,0,0,44.877082147254,41.6152759408601,48.828709318779,44.1561120128515,38.0556540573419,50.3382315059568,0,0,0
30,10,55347.5,55226,55471.8,55468.6,55005.4,55837.2,200.5,193.9,206.8,197.7,188.5,205.9,0,0,0,0,0,0,0,0,0,39.3436724191231,35.3469949342055,42.7746771472328,41.6906780728865,37.7333019311975,45.4956763797302,0,0,0
40,10,52403.5,52054.4,52772.2,52641.1,52179.2,53084.4,288.8,280.3,296.5,275.3,262.1,290.8,0,0,0,0,0,0,0,0,0,44.1181278520765,42.0750383671521,46.0104662022487,39.2780986488583,34.7645778634537,43.7773903750437,0,0,0
50,10,48108.8,47688.5,48513.6,48780.6,47863.5,49504.9,406.2,394.2,416.1,392.7,371.1,419.1,0,0,0,0,0,0,0,0,0,40.7198503090181,38.0917632707501,43.424402364947,42.6475939651047,39.685613735269,45.9818736925793,0,0,0
60,10,42103.7,41560,42665.5,42809.3,41457.8,43926.8,570.3,548.6,591.3,548.6,518.8,581.1,0,0,0,0,0,0,0,0,0,40.3910952792589,36.9813836742236,43.6415239859824,39.7785878752833,37.8423633813242,41.6709377447822,0,0,0
70,10,34254.2,33223.5,35135,35337.7,33958.3,36645.2,802,775.9,832.1,755.1,709.4,805.4,0,0,0,0,0,0,0,0,0,40.7060665971646,38.4827164156084,43.0438773306957,37.5496574084274,35.183502915877,39.8136519126282,0,0,0
80,10,23855.9,22713,25063.7,26032.2,24188.9,28152.6,1097.9,1058.9,1139.5,1036.9,984.8,1088,0,0,0,0,0,0,0,0,0,36.8958773876723,35.7069613805835,38.0470188187815,37.5934122869948,34.9244106825051,40.0633826607116,0,0,0
90,10,13573.1,12337.9,14716.6,15571.4,13807.2,17402.6,1396.8,1369.5,1422.3,1343.8,1282,1403.2,0,0,0,0,0,0,0,0,0,27.4623281832569,24.538084525671,30.2607657801738,29.79932140539,27.8042253588259,31.8265183546379,0,0,0
