"replicate","timeStep","resource1amount","resource2amount","prey1PopulationSize","prey2PopulationSize","prey1catches","prey2catches","predator1PopulationSize","prey1growthRate","prey2growthRate","predatorGrowthRate"
1,0,62500,62500,0,100,0,0,0,0,0,0
1,10,62500,57582,0,97,0,0,0,0,-3,0
1,20,62500,57632,0,139,0,0,0,0,43.298969072165,0
1,30,62500,55521,0,195,0,0,0,0,40.2877697841727,0
1,40,62500,52616,0,281,0,0,0,0,44.1025641025641,0
1,50,62500,48568,0,386,0,0,0,0,37.3665480427046,0
1,60,62500,43512,0,550,0,0,0,0,42.4870466321244,0
1,70,62500,35472,0,777,0,0,0,0,41.2727272727273,0
1,80,62500,25182,0,1018,0,0,0,0,31.016731016731,0
1,90,62500,15804,0,1340,0,0,0,0,31.6306483300589,0
1,100,62500,7646,0,1565,0,0,0,0,16.7910447761194,0
1,110,62500,3465,0,1645,0,0,0,0,5.11182108626198,0
1,120,62500,2703,0,1701,0,0,0,0,3.40425531914894,0
1,130,62500,2106,0,1644,0,0,0,0,-3.35097001763668,0
1,140,62500,2772,0,1638,0,0,0,0,-0.364963503649635,0
1,150,62500,3345,0,1648,0,0,0,0,0.610500610500611,0
1,160,62500,3311,0,1624,0,0,0,0,-1.45631067961165,0
1,170,62500,3174,0,1644,0,0,0,0,1.23152709359606,0
1,180,62500,2710,0,1639,0,0,0,0,-0.304136253041363,0
1,190,62500,3351,0,1685,0,0,0,0,2.80658938377059,0
1,200,62500,3073,0,1623,0,0,0,0,-3.67952522255193,0
1,210,62500,5457,0,1271,0,40,180,0,-21.6882316697474,0
1,220,62500,17076,0,897,0,31,285,0,-29.4256490952006,58.3333333333333
1,230,62500,33648,0,432,0,39,342,0,-51.8394648829431,20
1,240,62500,50018,0,117,0,21,257,0,-72.9166666666667,-24.8538011695906
1,250,62500,59306,0,34,0,9,50,0,-70.9401709401709,-80.5447470817121
1,260,62500,61030,0,31,0,2,6,0,-8.82352941176471,-88
1,270,62500,61042,0,46,0,0,0,0,48.3870967741936,-100
1,280,62500,60223,0,66,0,0,0,0,43.4782608695652,0
1,290,62500,59184,0,91,0,0,0,0,37.8787878787879,0
1,300,62500,57939,0,132,0,0,0,0,45.0549450549451,0
1,310,62500,55752,0,177,0,0,0,0,34.0909090909091,0
1,320,62500,53923,0,260,0,0,0,0,46.8926553672316,0
1,330,62500,49560,0,353,0,0,0,0,35.7692307692308,0
1,340,62500,44859,0,500,0,0,0,0,41.643059490085,0
1,350,62500,37584,0,715,0,0,0,0,43,0
1,360,62500,26858,0,1014,0,0,0,0,41.8181818181818,0
1,370,62500,15880,0,1322,0,0,0,0,30.3747534516765,0
1,380,62500,7314,0,1526,0,0,0,0,15.4311649016641,0
1,390,62500,4384,0,1670,0,0,0,0,9.43643512450852,0
1,400,62500,2844,0,1642,0,0,0,0,-1.67664670658683,0
1,410,62500,2786,0,1638,0,0,0,0,-0.243605359317905,0
1,420,62500,3235,0,1638,0,0,0,0,0,0
1,430,62500,3196,0,1658,0,0,0,0,1.22100122100122,0
1,440,62500,1941,0,1684,0,0,0,0,1.56815440289505,0
1,450,62500,2446,0,1668,0,0,0,0,-0.950118764845606,0
1,460,62500,2517,0,1658,0,0,0,0,-0.599520383693046,0
