"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,10,62500,62500,62500,62500,62500,62500,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,57528.5,57491,57567.2,57538.8,57470.2,57599.6,97.3,95.8,99.1,98.5,96,100.9,0,0,0,0,0,0,0,0,0,-2.7,-4.2,-0.9,-1.5,-4,1,0,0,0
20,10,57670.2,57541.7,57784.2,57616.9,57497.3,57731.1,139.9,135.3,144.1,135.2,128.3,141.3,0,0,0,0,0,0,0,0,0,43.7728322180453,39.9738452940483,47.190018006186,37.41622364973,29.8172075956797,43.9788618564442,0,0,0
30,10,55493.6,55258.4,55700.2,55758.7,55459.2,56097.6,193.9,189,198.7,191,184.4,199,0,0,0,0,0,0,0,0,0,38.7231740843202,36.0655626822394,41.2662985771327,41.686820053992,36.8333970100063,46.3646359689917,0,0,0
40,10,52865.8,52599.3,53110.9,52962,52611.9,53299.6,275.5,264.9,286.6,266.4,259.7,272.2,0,0,0,0,0,0,0,0,0,42.0555914248461,38.1782097445058,45.8799557809776,39.8420828540837,35.3889499909819,44.909246098548,0,0,0
50,10,48720.6,48131.2,49282.5,49197.1,48917.5,49488.9,383.7,371.9,395.8,372.9,362.8,382.3,0,0,0,0,0,0,0,0,0,39.4345212327192,36.8657362532119,42.3016646401576,40.0290667914903,37.0773743994839,42.8296666319193,0,0,0
60,10,43391.7,42821.4,43957.2,43990.9,43498.9,44481.7,541.8,525,561.1,526.4,518.6,536.2,0,0,0,0,0,0,0,0,0,41.2132737272383,39.2357245123857,42.9771299962113,41.3219823603262,38.6836955501376,44.1863669856866,0,0,0
70,10,35566.5,34649.9,36291.1,36255.3,35738.4,36681,765.2,745.7,785.1,734.7,722.6,745.9,0,0,0,0,0,0,0,0,0,41.3379876057889,39.8488984039827,42.5391508032798,39.6110020858492,37.8065385700279,41.7673335424331,0,0,0
80,10,25184.4,24248.6,25982,26538.4,25928.5,27199.4,1045.9,1017.9,1075.9,1018.7,994,1041.7,0,0,0,0,0,0,0,0,0,36.6914846992078,34.3791089661863,38.8489105170801,38.6274861297261,37.0214020394155,40.1454720331302,0,0,0
90,10,15002.2,13876.4,16039,15786.9,15061.1,16545.4,1349.8,1315.7,1380.5,1321.1,1302.3,1340.7,0,0,0,0,0,0,0,0,0,29.1446451845261,27.1012763246222,31.0167430505538,29.7781489190019,27.7753780707486,31.8077033541166,0,0,0
100,10,7194.5,6414.6,8017.4,7739.1,7231.2,8203.6,1574.8,1554.5,1595.6,1571.6,1550.4,1591.8,0,0,0,0,0,0,0,0,0,16.8000855403542,14.5144864877163,19.7152668954814,18.9932902824909,17.4116987561811,20.6294548309729,0,0,0
110,10,3650,3307.1,3964.3,3920.9,3653.4,4193.5,1656.9,1633,1678.1,1656.5,1636.9,1675.9,0,0,0,0,0,0,0,0,0,5.26319596771216,3.18927671209389,7.02118325125667,5.4528042832447,3.78177323257994,7.27894556714059,0,0,0
120,10,2727.9,2586.6,2919.1,2871.9,2558.1,3151.5,1674,1658.1,1690,1656.4,1640.3,1672.9,0,0,0,0,0,0,0,0,0,1.0851262255211,-0.711521334351739,2.96909010137861,0.0312128154373204,-1.48664803520587,1.60976809766129,0,0,0
130,10,2646.3,2494.1,2799.5,2695.9,2456.8,2969.2,1653,1637.1,1669.3,1650.3,1629.9,1671.6,0,0,0,0,0,0,0,0,0,-1.21643405533937,-2.94067393609406,0.464343832333092,-0.333117214111848,-2.24452596411819,1.49225968935255,0,0,0
140,10,2872.8,2670.2,3052.8,2852.8,2590.7,3129.4,1653.3,1642.6,1666,1656.9,1643.7,1670.8,0,0,0,0,0,0,0,0,0,0.0468964326997465,-1.18734253364761,1.34843997859492,0.458945384928665,-1.2665354726204,2.48544502029666,0,0,0
150,10,2893.8,2635.1,3144.3,2838.7,2642.4,2997.4,1635.8,1624.3,1647,1651.9,1639.2,1663,0,0,0,0,0,0,0,0,0,-1.03798012244889,-2.32952539354819,0.0846699907479567,-0.276227869264765,-1.51651350299123,1.06184914459293,0,0,0
160,10,3033.7,2847.4,3238.8,2746.1,2518.1,3001,1641.8,1628.9,1654.7,1637.6,1619.9,1660,0,0,0,0,0,0,0,0,0,0.377815298941283,-0.611829942465823,1.35280488866347,-0.850538646320418,-2.24785271701952,0.666662794854574,0,0,0
170,10,2742.9,2551.2,2967.9,2966.6,2703.7,3197,1640,1620.4,1657.9,1661.6,1641.8,1683.4,0,0,0,0,0,0,0,0,0,-0.0860123496100109,-1.76062031867602,1.31766626827686,1.53309891476486,-1.11298923286696,3.57504736044506,0,0,0
