"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,10,62500,62500,62500,62500,62500,62500,0,0,0,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,62500,62500,62500,57495.7,57443.3,57556,0,0,0,98.8,97.3,100.3,0,0,0,0,0,0,0,0,0,0,0,0,-1.2,-2.6,0.3,0,0,0
20,10,62500,62500,62500,57616.8,57559.5,57675.8,0,0,0,144.2,138.8,148.5,0,0,0,0,0,0,0,0,0,0,0,0,45.9151952343455,41.4187990985868,49.7743735764834,0,0,0
30,10,62500,62500,62500,55340,55071.4,55640.1,0,0,0,199.6,189.9,208.3,0,0,0,0,0,0,0,0,0,0,0,0,38.4854876173395,33.2253535447446,42.6343962924713,0,0,0
40,10,62500,62500,62500,52535.2,52060.1,52969.2,0,0,0,282.4,270.6,293.6,0,0,0,0,0,0,0,0,0,0,0,0,41.6837749384657,37.4720510351321,45.1058597748436,0,0,0
50,10,62500,62500,62500,48365.6,47738.8,48908.1,0,0,0,394,379.4,408.1,0,0,0,0,0,0,0,0,0,0,0,0,39.6412396892552,37.3769158373638,42.223822025858,0,0,0
60,10,62500,62500,62500,42879.7,42084,43599.6,0,0,0,551.7,531,571.3,0,0,0,0,0,0,0,0,0,0,0,0,40.0881877150499,37.6790335957017,42.6211128437298,0,0,0
70,10,62500,62500,62500,35069.3,34068,35997.4,0,0,0,764.5,734.9,796.3,0,0,0,0,0,0,0,0,0,0,0,0,38.5759938680843,35.9145984787283,40.9980998023733,0,0,0
80,10,62500,62500,62500,25559,24147.3,26756.4,0,0,0,1054.1,1019,1095.4,0,0,0,0,0,0,0,0,0,0,0,0,37.9870483604323,36.0789743152749,40.1048613193664,0,0,0
90,10,62500,62500,62500,14591.8,13335.1,15855.4,0,0,0,1370.4,1339.3,1403.7,0,0,0,0,0,0,0,0,0,0,0,0,30.1818574442056,28.0081482849229,32.2875191442534,0,0,0
