"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,10,62500,62500,62500,62500,62500,62500,0,0,0,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,62500,62500,62500,57527.2,57488.8,57569.8,0,0,0,96.8,95.1,98.5,0,0,0,0,0,0,0,0,0,0,0,0,-3.2,-5,-1.6,0,0,0
20,10,62500,62500,62500,57692.5,57607.6,57771.8,0,0,0,140.9,135.9,145.4,0,0,0,0,0,0,0,0,0,0,0,0,45.7296820122747,39.436027184072,51.8328074490954,0,0,0
30,10,62500,62500,62500,55424.9,55169.9,55692.8,0,0,0,204.2,195.6,213.3,0,0,0,0,0,0,0,0,0,0,0,0,44.9876439903849,40.5425971643468,49.1632829636006,0,0,0
40,10,62500,62500,62500,52283.4,51869.2,52668.9,0,0,0,285.6,272.6,297.7,0,0,0,0,0,0,0,0,0,0,0,0,39.9501599392562,36.6024168731748,42.6293353904745,0,0,0
50,10,62500,62500,62500,48171.2,47576.3,48769.7,0,0,0,410.2,394.9,423.5,0,0,0,0,0,0,0,0,0,0,0,0,43.8595571824995,41.0954419114929,47.299161638022,0,0,0
60,10,62500,62500,62500,41983.4,41260.5,42726.7,0,0,0,574.5,555,593.9,0,0,0,0,0,0,0,0,0,0,0,0,40.0823176076003,38.407075779199,41.7591426202649,0,0,0
70,10,62500,62500,62500,33929.3,32986.6,34864.3,0,0,0,805.9,778.6,831.2,0,0,0,0,0,0,0,0,0,0,0,0,40.32376151865,39.1378052269662,41.6804703970075,0,0,0
80,10,62500,62500,62500,23582.4,22481,24631.5,0,0,0,1104.3,1064,1139.5,0,0,0,0,0,0,0,0,0,0,0,0,37.033612136041,34.5652216511049,39.3830563278271,0,0,0
90,10,62500,62500,62500,13484.7,12317.3,14619.9,0,0,0,1384.1,1354.2,1413.6,0,0,0,0,0,0,0,0,0,0,0,0,25.5332426022465,23.1589915755788,28.0320553432525,0,0,0
100,10,62500,62500,62500,6785,6196.7,7382.6,0,0,0,1581.3,1564.5,1601.5,0,0,0,0,0,0,0,0,0,0,0,0,14.3195257810494,12.8193882393735,15.8855020460169,0,0,0
110,10,62500,62500,62500,3739.3,3383.3,4094.5,0,0,0,1661.1,1651.2,1673.1,0,0,0,0,0,0,0,0,0,0,0,0,5.07527432722498,3.84333438429703,6.15852705613562,0,0,0
120,10,62500,62500,62500,2795.9,2669.4,2937.7,0,0,0,1669.4,1653.2,1685,0,0,0,0,0,0,0,0,0,0,0,0,0.52346819768303,-1.00550372218782,1.89201913588928,0,0,0
130,10,62500,62500,62500,2634.3,2372,2921.2,0,0,0,1651.6,1628.7,1670.5,0,0,0,0,0,0,0,0,0,0,0,0,-1.05399165181367,-2.3151554646632,0.128402854599031,0,0,0
140,10,62500,62500,62500,2972.8,2770.4,3213,0,0,0,1644.4,1631.8,1659.5,0,0,0,0,0,0,0,0,0,0,0,0,-0.396746850366658,-1.81090522700005,1.12046583087816,0,0,0
150,10,62500,62500,62500,3017.8,2849.1,3173.9,0,0,0,1644.3,1634.8,1652.6,0,0,0,0,0,0,0,0,0,0,0,0,0.0184112939173826,-1.11037161583702,1.23851351724723,0,0,0
160,10,62500,62500,62500,2839.7,2620.9,3090.7,0,0,0,1662.2,1645.4,1679.9,0,0,0,0,0,0,0,0,0,0,0,0,1.09790692170398,-0.0801776778798014,2.35344975027085,0,0,0
170,10,62500,62500,62500,2843.5,2695,2972.1,0,0,0,1643.4,1627,1658.2,0,0,0,0,0,0,0,0,0,0,0,0,-1.10178705199318,-2.71004256237747,0.302348365758751,0,0,0
180,10,62500,62500,62500,2937.8,2714.6,3155.8,0,0,0,1635.3,1619.4,1650.8,0,0,0,0,0,0,0,0,0,0,0,0,-0.471457960807947,-1.68432345328364,0.806450907831587,0,0,0
190,10,62500,62500,62500,3041.3,2831.5,3238.8,0,0,0,1659.7,1638,1680.7,0,0,0,0,0,0,0,0,0,0,0,0,1.52138200335032,-0.324976981951136,3.1334238688243,0,0,0
200,10,62500,62500,62500,2880.9,2692.6,3086.7,0,0,0,1634.5,1621.6,1649.8,0,0,0,0,0,0,0,0,0,0,0,0,-1.46218600163711,-3.15866589607714,0.44538051363641,0,0,0
210,10,62500,62500,62500,3924,3702.7,4146.3,0,0,0,1483.1,1468.4,1497.3,0,0,0,24.2,21.6,26.4,0,0,0,0,0,0,-9.23803358621394,-10.5535715442562,-7.98630315181129,0,0,0
220,10,62500,62500,62500,4675.2,4367.2,5017.3,0,0,0,1623.6,1606.9,1640,0,0,0,0,0,0,0,0,0,0,0,0,9.48612461746534,8.28438118938677,10.622055700218,0,0,0
230,10,62500,62500,62500,3174.6,2908,3451.2,0,0,0,1653,1638.8,1667.1,0,0,0,0,0,0,0,0,0,0,0,0,1.84245675032715,0.471641753595745,3.36776413784507,0,0,0
240,10,62500,62500,62500,2845.4,2643.5,3041.6,0,0,0,1657,1643.8,1670.8,0,0,0,0,0,0,0,0,0,0,0,0,0.275655760441149,-1.33228243825152,1.89093416736818,0,0,0
250,10,62500,62500,62500,2799.4,2558.6,3062.8,0,0,0,1634.9,1621.8,1647.7,0,0,0,0,0,0,0,0,0,0,0,0,-1.31850749504947,-2.27479019654824,-0.277586099929546,0,0,0
260,10,62500,62500,62500,2962.5,2844,3086.6,0,0,0,1670.3,1657.6,1684.1,0,0,0,0,0,0,0,0,0,0,0,0,2.19774445905481,0.689196918090691,3.78682700428184,0,0,0
270,10,62500,62500,62500,2660.5,2435.1,2881.1,0,0,0,1647.1,1635.8,1659.5,0,0,0,0,0,0,0,0,0,0,0,0,-1.37546690441192,-2.39853965058792,-0.454228796949692,0,0,0
280,10,62500,62500,62500,2852,2676.2,3017.4,0,0,0,1639.6,1628.1,1652.3,0,0,0,0,0,0,0,0,0,0,0,0,-0.439553733623667,-1.56559912386075,0.547553499193237,0,0,0
290,10,62500,62500,62500,2994,2747.5,3228.3,0,0,0,1653.1,1641.5,1664.5,0,0,0,0,0,0,0,0,0,0,0,0,0.838972670136934,-0.191442874626708,1.82043401085203,0,0,0
300,10,62500,62500,62500,2829.8,2737.1,2918.5,0,0,0,1650.1,1635.1,1664.2,0,0,0,0,0,0,0,0,0,0,0,0,-0.161338620278148,-1.55537983269574,1.2935949834262,0,0,0
310,10,62500,62500,62500,2966.4,2690.2,3216.7,0,0,0,1645.3,1631.7,1659.8,0,0,0,0,0,0,0,0,0,0,0,0,-0.268357626715812,-1.43793115455985,1.09823684966485,0,0,0
