"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,10,62500,62500,62500,62500,62500,62500,0,0,0,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,62500,62500,62500,57485.6,57429.2,57544.7,0,0,0,100,98.8,101.6,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.2,1.6,0,0,0
20,10,62500,62500,62500,57478.1,57422.7,57541.4,0,0,0,145.6,138.8,151.6,0,0,0,0,0,0,0,0,0,0,0,0,45.6174787553266,39.6896326367331,51.5103257643248,0,0,0
30,10,62500,62500,62500,55183.9,54849.5,55553.4,0,0,0,203.9,196.7,212.1,0,0,0,0,0,0,0,0,0,0,0,0,40.35375212613,36.139278871,45.0111135953607,0,0,0
40,10,62500,62500,62500,52360,51951.5,52707.2,0,0,0,285.7,276.3,294.8,0,0,0,0,0,0,0,0,0,0,0,0,40.3139989108114,36.6134507552141,43.9851775736084,0,0,0
50,10,62500,62500,62500,48193.3,47730.7,48613.3,0,0,0,412.1,397,424.7,0,0,0,0,0,0,0,0,0,0,0,0,44.2912671419573,41.6001941278233,46.7710536615295,0,0,0
60,10,62500,62500,62500,41865.7,41138.7,42589,0,0,0,577.3,556.6,594.6,0,0,0,0,0,0,0,0,0,0,0,0,40.1294671012313,38.0271479389017,42.0578068694833,0,0,0
70,10,62500,62500,62500,33893.5,33069,34823.4,0,0,0,801.4,771.1,828.5,0,0,0,0,0,0,0,0,0,0,0,0,38.8080717893185,37.5257093416358,39.9529233792938,0,0,0
80,10,62500,62500,62500,23949.5,22827.8,25128.7,0,0,0,1098.9,1061.2,1134.5,0,0,0,0,0,0,0,0,0,0,0,0,37.1615415781302,35.4869183915049,38.7992307371458,0,0,0
90,10,62500,62500,62500,13407.3,12262.7,14552.8,0,0,0,1407.6,1375.8,1436.3,0,0,0,0,0,0,0,0,0,0,0,0,28.245169693223,26.0481336632048,30.2822864682625,0,0,0
