"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,10,62500,62500,62500,62500,62500,62500,0,0,0,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,62500,62500,62500,57429.7,57370.4,57494.3,0,0,0,98.8,96.5,101.1,0,0,0,0,0,0,0,0,0,0,0,0,-1.2,-3.3,1,0,0,0
20,10,62500,62500,62500,57554,57429.5,57693.5,0,0,0,141.3,136.7,145.2,0,0,0,0,0,0,0,0,0,0,0,0,43.0568802574825,39.2135922515047,47.0212219557187,0,0,0
30,10,62500,62500,62500,55467.1,55274.7,55676.3,0,0,0,201.5,194.6,208.9,0,0,0,0,0,0,0,0,0,0,0,0,42.6706852328718,38.8372648011294,46.2178369657968,0,0,0
40,10,62500,62500,62500,52392.8,52041.7,52738.7,0,0,0,276.4,270,283.1,0,0,0,0,0,0,0,0,0,0,0,0,37.4303944205438,33.8076503146906,40.9767530561904,0,0,0
50,10,62500,62500,62500,48685.4,48361.1,48990.2,0,0,0,394.6,385.8,403.9,0,0,0,0,0,0,0,0,0,0,0,0,42.8090457891702,40.9114420176814,44.581698420216,0,0,0
60,10,62500,62500,62500,42779.5,42214.3,43318.1,0,0,0,544.6,530.1,561.1,0,0,0,0,0,0,0,0,0,0,0,0,38.0152089077991,35.5296931461369,40.6154070701233,0,0,0
70,10,62500,62500,62500,35380.2,34586.6,36130,0,0,0,777.6,754.5,800,0,0,0,0,0,0,0,0,0,0,0,0,42.8362519230572,40.4818028348884,44.7881273757514,0,0,0
80,10,62500,62500,62500,24860.8,23804.2,25760.4,0,0,0,1052,1033.3,1072.6,0,0,0,0,0,0,0,0,0,0,0,0,35.3930967474538,33.7825661826126,37.2698893968432,0,0,0
90,10,62500,62500,62500,14769.6,14203.4,15422.9,0,0,0,1369.1,1351,1386.6,0,0,0,0,0,0,0,0,0,0,0,0,30.1996201475347,28.8537913738587,31.5401376308899,0,0,0
100,10,62500,62500,62500,6821.8,6316.4,7286.3,0,0,0,1579.4,1566.2,1594,0,0,0,0,0,0,0,0,0,0,0,0,15.3976353430524,13.9735826683316,16.7201014886576,0,0,0
110,10,62500,62500,62500,3759.7,3523.7,4004.1,0,0,0,1650.3,1635,1664.4,0,0,0,0,0,0,0,0,0,0,0,0,4.50698339331735,3.1506977118467,5.68906232466697,0,0,0
120,10,62500,62500,62500,2899.3,2678.9,3085.9,0,0,0,1654.4,1636.6,1671.5,0,0,0,0,0,0,0,0,0,0,0,0,0.280070227544722,-1.3809565530419,1.90884086777547,0,0,0
130,10,62500,62500,62500,2897.5,2668.1,3112.7,0,0,0,1662.9,1653.7,1670.5,0,0,0,0,0,0,0,0,0,0,0,0,0.550448482153697,-0.924270089535364,1.79882532031573,0,0,0
140,10,62500,62500,62500,2804.7,2651.7,2958.7,0,0,0,1648.1,1632.6,1663.4,0,0,0,0,0,0,0,0,0,0,0,0,-0.877363269967502,-1.9902977312753,0.357205636384802,0,0,0
