"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,10,62500,62500,62500,62500,62500,62500,0,0,0,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,62500,62500,62500,57458,57412.3,57505.2,0,0,0,101.1,99.3,103.1,0,0,0,0,0,0,0,0,0,0,0,0,1.1,-0.9,3,0,0,0
20,10,62500,62500,62500,57444.9,57340.3,57548.9,0,0,0,145.2,140.7,149.1,0,0,0,0,0,0,0,0,0,0,0,0,43.6819332189117,39.5253955627738,47.8999920919279,0,0,0
30,10,62500,62500,62500,55216.6,55026.1,55459.6,0,0,0,204.6,199.7,209.8,0,0,0,0,0,0,0,0,0,0,0,0,41.1972796252155,36.2819597330333,46.1366369603065,0,0,0
40,10,62500,62500,62500,52302.1,52075.5,52523.9,0,0,0,283.8,277.3,289.9,0,0,0,0,0,0,0,0,0,0,0,0,38.7903350613411,36.1605834491898,41.8377529573743,0,0,0
50,10,62500,62500,62500,48213.5,47898,48535.6,0,0,0,408.5,399.9,417.5,0,0,0,0,0,0,0,0,0,0,0,0,43.9804223919405,42.088346090506,45.8869807416339,0,0,0
60,10,62500,62500,62500,42012.1,41500.4,42427.8,0,0,0,571.4,551,595.3,0,0,0,0,0,0,0,0,0,0,0,0,39.782695365982,36.4030996555038,43.2208621154783,0,0,0
70,10,62500,62500,62500,34102.2,33000,35089.6,0,0,0,806.2,782.3,833.2,0,0,0,0,0,0,0,0,0,0,0,0,41.2551783953981,38.7710934618601,43.7339865004103,0,0,0
80,10,62500,62500,62500,23666.7,22444.3,24730.6,0,0,0,1106.8,1071.4,1142.9,0,0,0,0,0,0,0,0,0,0,0,0,37.3203058475073,35.0316846625031,39.2376946847277,0,0,0
90,10,62500,62500,62500,13123.9,12052.5,14147.2,0,0,0,1395.5,1359.9,1427.8,0,0,0,0,0,0,0,0,0,0,0,0,26.1824345927922,24.521661822661,28.0238124840874,0,0,0
