"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,10,62500,62500,62500,62500,62500,62500,0,0,0,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,62500,62500,62500,57467.4,57382.6,57551,0,0,0,100.6,98.3,102.6,0,0,0,0,0,0,0,0,0,0,0,0,0.6,-1.6,2.5,0,0,0
20,10,62500,62500,62500,57478,57392.7,57555.4,0,0,0,144.4,140.4,148.4,0,0,0,0,0,0,0,0,0,0,0,0,43.6428755760719,39.7077370303374,47.7854232001832,0,0,0
30,10,62500,62500,62500,55274.2,55111.9,55468.3,0,0,0,203.1,196.5,208.7,0,0,0,0,0,0,0,0,0,0,0,0,40.682451435856,37.9149985352993,43.4077802329034,0,0,0
40,10,62500,62500,62500,52399.9,52076,52716,0,0,0,289.4,282.4,295.6,0,0,0,0,0,0,0,0,0,0,0,0,42.7090305735911,38.7920273460587,46.2262223724148,0,0,0
50,10,62500,62500,62500,48045.3,47657.6,48469.5,0,0,0,408,395,419.2,0,0,0,0,0,0,0,0,0,0,0,0,40.9642706966686,38.4876352632987,43.2797022644292,0,0,0
60,10,62500,62500,62500,42159.8,41589.6,42798,0,0,0,571.9,549.3,593.6,0,0,0,0,0,0,0,0,0,0,0,0,40.0896332970905,38.1118049990266,41.8594888328657,0,0,0
70,10,62500,62500,62500,34060.6,33073.8,35096,0,0,0,800.3,774.1,825.7,0,0,0,0,0,0,0,0,0,0,0,0,40.0531574111604,38.3100976378165,42.0754686553944,0,0,0
80,10,62500,62500,62500,23886.7,22887.7,25025.8,0,0,0,1094.2,1056.9,1126.9,0,0,0,0,0,0,0,0,0,0,0,0,36.7550060488561,34.9399693366602,38.3781695872113,0,0,0
90,10,62500,62500,62500,13491.7,12709,14430.7,0,0,0,1395.8,1367.2,1422.8,0,0,0,0,0,0,0,0,0,0,0,0,27.7810850363664,24.6346735234328,30.9449915407517,0,0,0
100,10,62500,62500,62500,6284,5745.1,6852.4,0,0,0,1602.6,1587,1620.2,0,0,0,0,0,0,0,0,0,0,0,0,14.9000128076263,12.8270989816004,16.7822233975684,0,0,0
110,10,62500,62500,62500,3473.7,3171.5,3746.5,0,0,0,1672.4,1654.8,1688.7,0,0,0,0,0,0,0,0,0,0,0,0,4.39172066106386,2.68725268516421,6.02113752055132,0,0,0
120,10,62500,62500,62500,2792.1,2587.2,2973.4,0,0,0,1646,1632.5,1660.1,0,0,0,0,0,0,0,0,0,0,0,0,-1.55175934949554,-2.81617458005732,-0.166295682047825,0,0,0
130,10,62500,62500,62500,2941.5,2795.5,3075.7,0,0,0,1657,1644.4,1669.4,0,0,0,0,0,0,0,0,0,0,0,0,0.692676294862928,-0.691338385679064,1.89344694829804,0,0,0
140,10,62500,62500,62500,2864,2668.2,3101.9,0,0,0,1641.8,1628.3,1655.3,0,0,0,0,0,0,0,0,0,0,0,0,-0.90452323321817,-1.99076122676413,0.0427815822451023,0,0,0
150,10,62500,62500,62500,3017.3,2765.3,3259,0,0,0,1646.5,1631.9,1658.2,0,0,0,0,0,0,0,0,0,0,0,0,0.301759356474239,-0.730646145536852,1.22760288965277,0,0,0
160,10,62500,62500,62500,2865.2,2726.3,2984.2,0,0,0,1650.4,1639.8,1661.6,0,0,0,0,0,0,0,0,0,0,0,0,0.263667231507259,-1.04400864462444,1.84283480653604,0,0,0
170,10,62500,62500,62500,2672.3,2525.4,2815.9,0,0,0,1654.6,1639.4,1670.8,0,0,0,0,0,0,0,0,0,0,0,0,0.267992217427443,-0.924665867102196,1.58620098372885,0,0,0
180,10,62500,62500,62500,2857.3,2634.9,3114.2,0,0,0,1662.2,1650,1674.1,0,0,0,0,0,0,0,0,0,0,0,0,0.475419215735631,-0.329408354014337,1.24196687955696,0,0,0
190,10,62500,62500,62500,2813.3,2685,2958.7,0,0,0,1632.3,1621.7,1644.4,0,0,0,0,0,0,0,0,0,0,0,0,-1.78048846338205,-2.92793307409115,-0.559573489098953,0,0,0
200,10,62500,62500,62500,3018.1,2851.5,3192.3,0,0,0,1646.3,1634.9,1656.5,0,0,0,0,0,0,0,0,0,0,0,0,0.867157623957691,0.0801055038368994,1.54692897279891,0,0,0
210,10,62500,62500,62500,4928.6,4679.2,5189.8,0,0,0,1325.5,1311.9,1337.3,0,0,0,50,46.5,53.1,8.5,7,10,0,0,0,-19.4801992035344,-20.3103583375228,-18.6639462209607,0,0,0
220,10,62500,62500,62500,7540.8,7117,8023.1,0,0,0,1507.8,1493.1,1520.7,0,0,0,4.3,3,5.5,1.6,0.9,2.3,0,0,0,13.7619403320965,13.0432412324328,14.5860948566843,-80.7489177489177,-89.1428571428571,-72.6666666666667
230,10,62500,62500,62500,4540,4236.7,4839.8,0,0,0,1639,1621.7,1656.2,0,0,0,1.1,0.5,1.8,0.5,0.1,0.9,0,0,0,8.71983583623041,7.39889783832091,10.2167015547692,-51.6666666666667,-73.3333333333333,-26.6666666666667
240,10,62500,62500,62500,3004,2789.5,3224.7,0,0,0,1641.8,1623.9,1661.1,0,0,0,0.5,0.1,0.9,0.2,0,0.5,0,0,0,0.187607095303572,-1.05236970519099,1.41781332052372,-25,-50,0
250,10,62500,62500,62500,2850.8,2693,3003.9,0,0,0,1655.9,1636,1675.4,0,0,0,0.1,0,0.3,0.2,0,0.5,0,0,0,0.916333179019453,-1.20712558569852,3.09366160307647,0,0,0
260,10,62500,62500,62500,2742.4,2489.8,2979.4,0,0,0,1650.4,1634.7,1666.6,0,0,0,0.1,0,0.3,0.1,0,0.3,0,0,0,-0.300326878485528,-1.68668650656523,0.990023891731053,-10,-30,0
270,10,62500,62500,62500,2860.1,2666.4,3066.3,0,0,0,1655.9,1643.4,1666.8,0,0,0,0.1,0,0.3,0.1,0,0.3,0,0,0,0.351275555131488,-0.578734114249744,1.26170533608346,0,0,0
280,10,62500,62500,62500,2813.9,2620,3051.6,0,0,0,1646.6,1628.6,1663.1,0,0,0,0.1,0,0.3,0.1,0,0.3,0,0,0,-0.536365232940484,-2.01166708292741,1.17096189097802,0,0,0
290,10,62500,62500,62500,2949.1,2716.8,3168.4,0,0,0,1639,1625.2,1651.6,0,0,0,0.1,0,0.3,0,0,0,0,0,0,-0.43103165033992,-1.8616695182438,0.848809423921432,-10,-30,0
300,10,62500,62500,62500,3062.1,2917.4,3219.8,0,0,0,1651.5,1635.6,1668.1,0,0,0,0,0,0,0,0,0,0,0,0,0.792922597681721,-0.966891990766315,2.36602319646959,0,0,0
310,10,62500,62500,62500,2892.9,2680.2,3099.4,0,0,0,1646.6,1626.6,1666.6,0,0,0,0,0,0,0,0,0,0,0,0,-0.271698614374563,-1.76106150875158,1.21889617579123,0,0,0
320,10,62500,62500,62500,2942.2,2675.8,3215.2,0,0,0,1647.4,1634.6,1659.7,0,0,0,0,0,0,0,0,0,0,0,0,0.0942390987590084,-1.51718992373626,1.69607496954585,0,0,0
330,10,62500,62500,62500,2801.8,2633.5,2932.7,0,0,0,1636.4,1618,1654.5,0,0,0,0,0,0,0,0,0,0,0,0,-0.653148627359019,-2.13658331420145,0.54962057748627,0,0,0
340,10,62500,62500,62500,3099.8,2834.9,3355,0,0,0,1650.1,1636.6,1665.3,0,0,0,0,0,0,0,0,0,0,0,0,0.87782274383875,-0.520361894075963,2.6610054478684,0,0,0
350,10,62500,62500,62500,2927.9,2769,3110.8,0,0,0,1648.3,1629.2,1666.4,0,0,0,0,0,0,0,0,0,0,0,0,-0.0748462437025846,-1.7962190476701,1.59216239529157,0,0,0
360,10,62500,62500,62500,2781.1,2467.3,3098.8,0,0,0,1645.9,1630.2,1663.1,0,0,0,0,0,0,0,0,0,0,0,0,-0.0979165543990242,-1.713183816382,1.89357471863859,0,0,0
370,10,62500,62500,62500,2853.2,2660.7,3018.8,0,0,0,1654.2,1643.8,1664.5,0,0,0,0,0,0,0,0,0,0,0,0,0.535468747214264,-0.700668753600487,1.93272886757336,0,0,0
380,10,62500,62500,62500,2780.3,2532.7,2994.3,0,0,0,1653.7,1639.1,1668.3,0,0,0,0,0,0,0,0,0,0,0,0,-0.0279529037252804,-0.670256210297065,0.739803705037967,0,0,0
390,10,62500,62500,62500,2912.1,2691.8,3134.9,0,0,0,1639.7,1618.4,1663.2,0,0,0,0,0,0,0,0,0,0,0,0,-0.816916011833882,-2.59372267249356,0.979019615305677,0,0,0
400,10,62500,62500,62500,2949.2,2702.4,3155.6,0,0,0,1638.3,1618.9,1656.1,0,0,0,0,0,0,0,0,0,0,0,0,-0.0334204377340045,-1.95100258993922,1.61043076849811,0,0,0
410,10,62500,62500,62500,3031.8,2726.5,3358.4,0,0,0,1658.2,1645.6,1671.3,0,0,0,0,0,0,0,0,0,0,0,0,1.24925505377025,-0.151115145956333,2.60334683787968,0,0,0
420,10,62500,62500,62500,2717.6,2503.1,2932.8,0,0,0,1651.2,1642.2,1660.5,0,0,0,0,0,0,0,0,0,0,0,0,-0.403975696742462,-1.35903495635064,0.646408236433948,0,0,0
430,10,62500,62500,62500,2739.1,2540.1,2932.1,0,0,0,1642.2,1625.2,1657.4,0,0,0,0,0,0,0,0,0,0,0,0,-0.538281924035574,-1.57506007393457,0.534701032079628,0,0,0
440,10,62500,62500,62500,2769.8,2563.7,2946.9,0,0,0,1664.8,1651.7,1677.2,0,0,0,0,0,0,0,0,0,0,0,0,1.40103662425497,0.19719401596038,2.68838207180102,0,0,0
450,10,62500,62500,62500,2713.1,2542.4,2881.7,0,0,0,1642.1,1626.3,1657.5,0,0,0,0,0,0,0,0,0,0,0,0,-1.33936448222738,-2.76251668985235,0.0953547818706563,0,0,0
460,10,62500,62500,62500,2952.4,2725.8,3148.2,0,0,0,1653.2,1634.6,1674.2,0,0,0,0,0,0,0,0,0,0,0,0,0.700295601501816,-0.78545140354592,2.21572157484228,0,0,0
470,10,62500,62500,62500,2752.2,2464.7,3086.8,0,0,0,1648.2,1635.6,1660.3,0,0,0,0,0,0,0,0,0,0,0,0,-0.257786724168289,-1.87603067916659,1.3943752522165,0,0,0
480,10,62500,62500,62500,2918.7,2664.5,3182.1,0,0,0,1655.7,1647.4,1664.7,0,0,0,0,0,0,0,0,0,0,0,0,0.472018172404589,-0.566949058947687,1.45703868763404,0,0,0
490,10,62500,62500,62500,2828.4,2609.6,3056.2,0,0,0,1654.9,1637.9,1670.9,0,0,0,0,0,0,0,0,0,0,0,0,-0.0376650535510059,-1.35143824342214,1.12210875822259,0,0,0
500,10,62500,62500,62500,2911.2,2762.2,3060.8,0,0,0,1639.3,1627.9,1649.2,0,0,0,0,0,0,0,0,0,0,0,0,-0.908185453362378,-2.40861576925896,0.503762616105562,0,0,0
510,10,62500,62500,62500,3099.8,2948.2,3227.2,0,0,0,1641.5,1629.5,1653.8,0,0,0,0,0,0,0,0,0,0,0,0,0.148884019028785,-0.805509381052383,1.3424849129841,0,0,0
520,10,62500,62500,62500,2925.7,2724.8,3103.7,0,0,0,1643.7,1631.5,1656.4,0,0,0,0,0,0,0,0,0,0,0,0,0.150837710831536,-0.957054015786954,1.20953424712427,0,0,0
530,10,62500,62500,62500,2872,2665.1,3071.4,0,0,0,1654.2,1643.4,1664.9,0,0,0,0,0,0,0,0,0,0,0,0,0.654464259442727,-0.350607906963616,1.60042565666209,0,0,0
540,10,62500,62500,62500,2923.8,2761.3,3089.8,0,0,0,1661.4,1644.4,1682.3,0,0,0,0,0,0,0,0,0,0,0,0,0.446925675181677,-0.86433611927428,1.71577650451742,0,0,0
550,10,62500,62500,62500,2788.5,2568.1,3008.9,0,0,0,1649.9,1637.2,1663.6,0,0,0,0,0,0,0,0,0,0,0,0,-0.656051640715447,-2.12502642314439,0.750425493676908,0,0,0
560,10,62500,62500,62500,2852.6,2616.4,3104.9,0,0,0,1646.5,1634.4,1658.1,0,0,0,0,0,0,0,0,0,0,0,0,-0.185987258108884,-1.42970524675903,0.910084200521202,0,0,0
570,10,62500,62500,62500,2943.7,2722,3161.6,0,0,0,1644.1,1626.7,1661.8,0,0,0,0,0,0,0,0,0,0,0,0,-0.124910014425796,-1.56216343535299,1.43531929356645,0,0,0
580,10,62500,62500,62500,2956.3,2752,3144,0,0,0,1647.9,1632.8,1663.2,0,0,0,0,0,0,0,0,0,0,0,0,0.273514211608503,-1.38953343179792,1.98336595206154,0,0,0
590,10,62500,62500,62500,2894.9,2728.1,3061.4,0,0,0,1647.4,1631.6,1662.2,0,0,0,0,0,0,0,0,0,0,0,0,-0.0157415802019612,-0.975853744944463,1.00761412783925,0,0,0
600,10,62500,62500,62500,2907.7,2707.1,3078.1,0,0,0,1650.2,1637.4,1661,0,0,0,0,0,0,0,0,0,0,0,0,0.192528902270311,-1.02102178868981,1.37881154897098,0,0,0
610,10,62500,62500,62500,2912.7,2690.4,3110.4,0,0,0,1642.6,1633.2,1653,0,0,0,0,0,0,0,0,0,0,0,0,-0.442843091875004,-1.4593704829444,0.662328872689616,0,0,0
620,10,62500,62500,62500,3066.6,2855.9,3283.3,0,0,0,1650.6,1632.3,1667.5,0,0,0,0,0,0,0,0,0,0,0,0,0.501792068303497,-1.01231352053063,1.71262933909365,0,0,0
630,10,62500,62500,62500,3028.2,2848.2,3185.5,0,0,0,1635.9,1620.6,1652.4,0,0,0,0,0,0,0,0,0,0,0,0,-0.863211782908494,-2.27092089202663,0.470922233932156,0,0,0
640,10,62500,62500,62500,3223.9,3036.2,3391.9,0,0,0,1644.3,1627.6,1659.9,0,0,0,0,0,0,0,0,0,0,0,0,0.555848097568233,-1.39424795616906,2.1922880180834,0,0,0
650,10,62500,62500,62500,2823.6,2587.7,3058.7,0,0,0,1646.8,1632.3,1661.4,0,0,0,0,0,0,0,0,0,0,0,0,0.179732579434586,-1.06546415023707,1.50056956844083,0,0,0
660,10,62500,62500,62500,2897.4,2751.9,3037.2,0,0,0,1643.2,1627.6,1660.4,0,0,0,0,0,0,0,0,0,0,0,0,-0.192237734197022,-1.57336676099516,1.46574077454355,0,0,0
670,10,62500,62500,62500,2897.1,2633.8,3177.6,0,0,0,1673.9,1659.7,1686.3,0,0,0,0,0,0,0,0,0,0,0,0,1.89562486856131,0.657462788355802,3.19661638966406,0,0,0
680,10,62500,62500,62500,2530.1,2314.5,2732.3,0,0,0,1644,1626.4,1657.9,0,0,0,0,0,0,0,0,0,0,0,0,-1.77329722934152,-2.85476684865953,-0.693902211955652,0,0,0
690,10,62500,62500,62500,2827.6,2599.5,3059.3,0,0,0,1639,1619,1656.6,0,0,0,0,0,0,0,0,0,0,0,0,-0.267709746813254,-2.11890817674579,1.59054600312832,0,0,0
700,10,62500,62500,62500,2820.8,2648,3011.9,0,0,0,1653.6,1636.5,1672.3,0,0,0,0,0,0,0,0,0,0,0,0,0.939431027922586,-0.939645915322944,2.98292740298944,0,0,0
710,10,62500,62500,62500,2845.8,2537.4,3216.3,0,0,0,1643.3,1632.2,1655,0,0,0,0,0,0,0,0,0,0,0,0,-0.585414670318818,-2.10758096231883,0.780016228289875,0,0,0
720,10,62500,62500,62500,2952.4,2809.7,3088.5,0,0,0,1653.7,1637.9,1670.5,0,0,0,0,0,0,0,0,0,0,0,0,0.633764723029684,-0.139544406663953,1.39295481173143,0,0,0
730,10,62500,62500,62500,2816.3,2595.5,3048.7,0,0,0,1647.4,1628.6,1664.7,0,0,0,0,0,0,0,0,0,0,0,0,-0.347714681924819,-2.13344003135944,1.15719310383983,0,0,0
740,10,62500,62500,62500,2918.1,2694.3,3150.8,0,0,0,1655.9,1640.2,1671,0,0,0,0,0,0,0,0,0,0,0,0,0.562925462727571,-1.30622799971276,2.49394179086016,0,0,0
750,10,62500,62500,62500,2743.8,2549.3,2972.5,0,0,0,1645.2,1638.5,1653.5,0,0,0,0,0,0,0,0,0,0,0,0,-0.627106428223195,-1.42190016512792,0.236642284884119,0,0,0
760,10,62500,62500,62500,2903,2678.1,3146.1,0,0,0,1646.4,1626.4,1671.8,0,0,0,0,0,0,0,0,0,0,0,0,0.0834140260701111,-1.40137610857113,1.73991940209106,0,0,0
770,10,62500,62500,62500,2827,2592.7,3074.2,0,0,0,1651.1,1640.1,1661.3,0,0,0,0,0,0,0,0,0,0,0,0,0.342659862781531,-1.25075377489003,1.72604829820364,0,0,0
780,10,62500,62500,62500,2902.5,2654.8,3153.8,0,0,0,1658.1,1643.6,1672,0,0,0,0,0,0,0,0,0,0,0,0,0.430245637025537,-0.468410008797145,1.20277231406073,0,0,0
790,10,62500,62500,62500,2790.8,2633,2932.7,0,0,0,1671.1,1652.8,1687.7,0,0,0,0,0,0,0,0,0,0,0,0,0.80883561939202,-0.991780397729739,2.24828955319339,0,0,0
800,10,62500,62500,62500,2629.8,2473.1,2790,0,0,0,1639.9,1618.9,1659.1,0,0,0,0,0,0,0,0,0,0,0,0,-1.81303879031325,-3.92877408291245,0.0101692784321359,0,0,0
810,10,62500,62500,62500,3062.7,2867.9,3252.1,0,0,0,1636.4,1617.1,1656.3,0,0,0,0,0,0,0,0,0,0,0,0,-0.160327051714418,-1.96652056606991,1.9422743200449,0,0,0
820,10,62500,62500,62500,3052.2,2827.7,3279.1,0,0,0,1648.2,1633.7,1663.5,0,0,0,0,0,0,0,0,0,0,0,0,0.779395743662464,-1.05546352759583,2.68550455911189,0,0,0
830,10,62500,62500,62500,2908.8,2749.8,3060.1,0,0,0,1658.2,1637.4,1680.6,0,0,0,0,0,0,0,0,0,0,0,0,0.622835610612514,-0.872917158661751,1.95388144733342,0,0,0
840,10,62500,62500,62500,2804.4,2573.9,3019.3,0,0,0,1646.1,1638.3,1653.8,0,0,0,0,0,0,0,0,0,0,0,0,-0.69471377411606,-2.00032560368424,0.381193907861436,0,0,0
850,10,62500,62500,62500,2929.4,2696.1,3177.9,0,0,0,1650.1,1634.3,1667.4,0,0,0,0,0,0,0,0,0,0,0,0,0.247116986910224,-0.81039187342606,1.34249512436195,0,0,0
860,10,62500,62500,62500,2798.4,2452.6,3084.1,0,0,0,1650.9,1636.3,1671.7,0,0,0,0,0,0,0,0,0,0,0,0,0.0776394884339552,-1.33704733276646,1.74138853297455,0,0,0
870,10,62500,62500,62500,2778.2,2591.4,2954.1,0,0,0,1659.2,1645,1673.7,0,0,0,0,0,0,0,0,0,0,0,0,0.548127562914835,-1.19949933597863,2.14975896167658,0,0,0
880,10,62500,62500,62500,2829.8,2606.4,3029.5,0,0,0,1644,1632.6,1657.3,0,0,0,0,0,0,0,0,0,0,0,0,-0.884591129564783,-2.41348698355316,0.622594502682539,0,0,0
890,10,62500,62500,62500,2749.7,2620.1,2886.6,0,0,0,1639.8,1630.5,1648.7,0,0,0,0,0,0,0,0,0,0,0,0,-0.243191373718372,-1.10598182355912,0.500616906484004,0,0,0
900,10,62500,62500,62500,2960.1,2734.8,3174.4,0,0,0,1651,1634.9,1665,0,0,0,0,0,0,0,0,0,0,0,0,0.691709173962648,-0.409518724343292,1.86820103079947,0,0,0
910,10,62500,62500,62500,2897.4,2730.2,3103.1,0,0,0,1652.5,1641.5,1665.3,0,0,0,0,0,0,0,0,0,0,0,0,0.125937510584942,-1.1237505326416,1.87598518012422,0,0,0
920,10,62500,62500,62500,2798.7,2605.5,3012.2,0,0,0,1644,1633.7,1652.8,0,0,0,0,0,0,0,0,0,0,0,0,-0.499702178542524,-1.47272251858305,0.421634301024363,0,0,0
930,10,62500,62500,62500,2879.5,2744.4,3016.5,0,0,0,1651.9,1642.4,1662.6,0,0,0,0,0,0,0,0,0,0,0,0,0.494247746490491,-0.47415424286022,1.61497426979023,0,0,0
940,10,62500,62500,62500,2865.4,2657,3082.8,0,0,0,1651.4,1638,1664.1,0,0,0,0,0,0,0,0,0,0,0,0,-0.0208751477658797,-1.04296240914983,1.00600211379768,0,0,0
950,10,62500,62500,62500,2822.6,2612.9,3020.3,0,0,0,1653.9,1636.9,1669.2,0,0,0,0,0,0,0,0,0,0,0,0,0.163600744223819,-0.942974318243797,1.18344134250625,0,0,0
960,10,62500,62500,62500,2831.4,2701.3,3010.5,0,0,0,1650.8,1636.9,1664.5,0,0,0,0,0,0,0,0,0,0,0,0,-0.156101222542418,-1.67742136056344,1.26522099394191,0,0,0
970,10,62500,62500,62500,2872.3,2690.4,3062.7,0,0,0,1654.8,1637.6,1672,0,0,0,0,0,0,0,0,0,0,0,0,0.249097823752254,-0.599379362163038,1.27539916815634,0,0,0
980,10,62500,62500,62500,2742.3,2566,2905,0,0,0,1649.8,1631.9,1666.7,0,0,0,0,0,0,0,0,0,0,0,0,-0.261812640911327,-2.06452981814762,1.59120436790517,0,0,0
990,10,62500,62500,62500,2886.1,2667.8,3082.6,0,0,0,1652.7,1638.1,1667.3,0,0,0,0,0,0,0,0,0,0,0,0,0.212003129536362,-1.35189961189645,1.92938268399846,0,0,0
1000,10,62500,62500,62500,2752.7,2549.3,2925.4,0,0,0,1656.1,1633.3,1679,0,0,0,0,0,0,0,0,0,0,0,0,0.216190299513789,-1.29765264871029,1.64131970298524,0,0,0
