"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,10,62500,62500,62500,62500,62500,62500,0,0,0,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,62500,62500,62500,57532.7,57498.2,57568.2,0,0,0,100.1,98.1,101.9,0,0,0,0,0,0,0,0,0,0,0,0,0.1,-2,1.9,0,0,0
20,10,62500,62500,62500,57528.8,57396.7,57649.6,0,0,0,139.6,133.9,145.6,0,0,0,0,0,0,0,0,0,0,0,0,39.4068262046841,34.5226406510019,44.5170221934928,0,0,0
30,10,62500,62500,62500,55536.5,55210.4,55828.1,0,0,0,196.1,190.7,202.2,0,0,0,0,0,0,0,0,0,0,0,0,40.7872128546674,36.9371641951429,44.4335086884632,0,0,0
40,10,62500,62500,62500,52618.5,52264.9,52913.7,0,0,0,275.3,264.4,286.4,0,0,0,0,0,0,0,0,0,0,0,0,40.5182252139402,35.3941838753528,45.2684811410153,0,0,0
50,10,62500,62500,62500,48739.8,48230.6,49214.7,0,0,0,390.9,380.3,403.5,0,0,0,0,0,0,0,0,0,0,0,0,42.2392790619597,38.9158792642064,45.747989873905,0,0,0
60,10,62500,62500,62500,43000.5,42458.3,43501.4,0,0,0,547.6,533.3,561.2,0,0,0,0,0,0,0,0,0,0,0,0,40.2542731929467,36.6029193568311,43.5553597960476,0,0,0
70,10,62500,62500,62500,35270.4,34630.9,35921.5,0,0,0,773.5,750.9,798.4,0,0,0,0,0,0,0,0,0,0,0,0,41.3292021500271,37.8233531562913,44.4695881480376,0,0,0
80,10,62500,62500,62500,24945.3,23840.4,25878.5,0,0,0,1055.7,1030,1084.5,0,0,0,0,0,0,0,0,0,0,0,0,36.5540833214814,34.5989354424251,38.4034641007771,0,0,0
90,10,62500,62500,62500,14701.8,13785.7,15543.2,0,0,0,1367.8,1335.4,1402,0,0,0,0,0,0,0,0,0,0,0,0,29.5775153988023,28.5926291126187,30.4880343110067,0,0,0
