"replicate","timeStep","resource1amount","resource2amount","prey1PopulationSize","prey2PopulationSize","prey1catches","prey2catches","predator1PopulationSize","prey1growthRate","prey2growthRate","predatorGrowthRate"
1,0,62500,62500,0,100,0,0,0,0,0,0
1,10,62500,57585,0,94,0,0,0,0,-6,0
1,20,62500,57773,0,127,0,0,0,0,35.1063829787234,0
1,30,62500,56129,0,176,0,0,0,0,38.5826771653543,0
1,40,62500,53740,0,249,0,0,0,0,41.4772727272727,0
1,50,62500,50005,0,360,0,0,0,0,44.578313253012,0
1,60,62500,44199,0,514,0,0,0,0,42.7777777777778,0
1,70,62500,36964,0,733,0,0,0,0,42.6070038910506,0
1,80,62500,26674,0,998,0,0,0,0,36.1527967257844,0
1,90,62500,15851,0,1320,0,0,0,0,32.2645290581162,0
1,100,62500,7933,0,1595,0,0,0,0,20.8333333333333,0
1,110,62500,3321,0,1653,0,0,0,0,3.63636363636364,0
1,120,62500,2929,0,1672,0,0,0,0,1.14942528735632,0
1,130,62500,2432,0,1618,0,0,0,0,-3.22966507177033,0
1,140,62500,3426,0,1646,0,0,0,0,1.73053152039555,0
1,150,62500,3376,0,1660,0,0,0,0,0.850546780072904,0
1,160,62500,2796,0,1636,0,0,0,0,-1.44578313253012,0
1,170,62500,3538,0,1646,0,0,0,0,0.611246943765281,0
1,180,62500,2769,0,1650,0,0,0,0,0.243013365735115,0
1,190,62500,2374,0,1664,0,0,0,0,0.848484848484849,0
1,200,62500,2626,0,1679,0,0,0,0,0.901442307692308,0
1,210,62500,5901,0,1162,0,60,335,0,-30.7921381774866,0
1,220,62500,32351,0,244,0,54,440,0,-79.0017211703959,31.3432835820896
1,230,62500,58336,0,9,0,4,46,0,-96.3114754098361,-89.5454545454545
1,240,62500,62076,0,10,0,0,0,0,11.1111111111111,-100
1,250,62500,62066,0,14,0,0,0,0,40,0
1,260,62500,61849,0,18,0,0,0,0,28.5714285714286,0
1,270,62500,61661,0,20,0,0,0,0,11.1111111111111,0
1,280,62500,61481,0,30,0,0,0,0,50,0
1,290,62500,61065,0,41,0,0,0,0,36.6666666666667,0
1,300,62500,60570,0,62,0,0,0,0,51.219512195122,0
1,310,62500,59323,0,84,0,0,0,0,35.4838709677419,0
1,320,62500,58111,0,117,0,0,0,0,39.2857142857143,0
1,330,62500,56615,0,170,0,0,0,0,45.2991452991453,0
1,340,62500,54077,0,228,0,0,0,0,34.1176470588235,0
1,350,62500,50971,0,312,0,0,0,0,36.8421052631579,0
1,360,62500,46854,0,452,0,0,0,0,44.8717948717949,0
1,370,62500,39843,0,630,0,0,0,0,39.3805309734513,0
1,380,62500,31384,0,871,0,0,0,0,38.2539682539683,0
1,390,62500,20592,0,1212,0,0,0,0,39.150401836969,0
1,400,62500,9288,0,1499,0,0,0,0,23.6798679867987,0
1,410,62500,4012,0,1668,0,0,0,0,11.2741827885257,0
1,420,62500,2692,0,1741,0,0,0,0,4.37649880095923,0
1,430,62500,2252,0,1589,0,0,0,0,-8.73061458931648,0
1,440,62500,3751,0,1640,0,0,0,0,3.20956576463184,0
1,450,62500,2885,0,1631,0,0,0,0,-0.548780487804878,0
1,460,62500,3186,0,1636,0,0,0,0,0.306560392397302,0
1,470,62500,2340,0,1667,0,0,0,0,1.89486552567237,0
1,480,62500,2513,0,1694,0,0,0,0,1.61967606478704,0
1,490,62500,2843,0,1605,0,0,0,0,-5.25383707201889,0
1,500,62500,3013,0,1656,0,0,0,0,3.17757009345794,0
1,510,62500,2643,0,1645,0,0,0,0,-0.664251207729469,0
1,520,62500,3095,0,1640,0,0,0,0,-0.303951367781155,0
1,530,62500,3136,0,1634,0,0,0,0,-0.365853658536585,0
1,540,62500,2650,0,1704,0,0,0,0,4.28396572827417,0
1,550,62500,2834,0,1615,0,0,0,0,-5.22300469483568,0
1,560,62500,3249,0,1677,0,0,0,0,3.8390092879257,0
1,570,62500,2927,0,1598,0,0,0,0,-4.71079308288611,0
1,580,62500,3340,0,1641,0,0,0,0,2.69086357947434,0
1,590,62500,2835,0,1675,0,0,0,0,2.07190737355271,0
1,600,62500,2253,0,1690,0,0,0,0,0.895522388059702,0
1,610,62500,2173,0,1635,0,0,0,0,-3.25443786982249,0
1,620,62500,2376,0,1683,0,0,0,0,2.93577981651376,0
1,630,62500,2819,0,1640,0,0,0,0,-2.55496137849079,0
1,640,62500,3008,0,1671,0,0,0,0,1.89024390243902,0
1,650,62500,3217,0,1642,0,0,0,0,-1.73548773189707,0
1,660,62500,3344,0,1615,0,0,0,0,-1.64433617539586,0
1,670,62500,2866,0,1619,0,0,0,0,0.247678018575851,0
1,680,62500,3137,0,1732,0,0,0,0,6.97961704756022,0
1,690,62500,1945,0,1640,0,0,0,0,-5.31177829099307,0
1,700,62500,3230,0,1660,0,0,0,0,1.21951219512195,0
1,710,62500,3281,0,1616,0,0,0,0,-2.65060240963855,0
1,720,62500,3250,0,1614,0,0,0,0,-0.123762376237624,0
1,730,62500,2784,0,1678,0,0,0,0,3.96530359355638,0
1,740,62500,2901,0,1714,0,0,0,0,2.14541120381406,0
1,750,62500,2730,0,1601,0,0,0,0,-6.59276546091015,0
1,760,62500,3642,0,1610,0,0,0,0,0.562148657089319,0
1,770,62500,3405,0,1663,0,0,0,0,3.29192546583851,0
1,780,62500,2571,0,1634,0,0,0,0,-1.74383644016837,0
1,790,62500,2925,0,1642,0,0,0,0,0.489596083231334,0
1,800,62500,3300,0,1609,0,0,0,0,-2.00974421437272,0
1,810,62500,2921,0,1704,0,0,0,0,5.90428837787446,0
1,820,62500,2332,0,1638,0,0,0,0,-3.87323943661972,0
1,830,62500,3223,0,1684,0,0,0,0,2.80830280830281,0
1,840,62500,2805,0,1636,0,0,0,0,-2.85035629453682,0
1,850,62500,2996,0,1629,0,0,0,0,-0.427872860635697,0
1,860,62500,2907,0,1672,0,0,0,0,2.63965623081645,0
1,870,62500,2801,0,1644,0,0,0,0,-1.67464114832536,0
1,880,62500,3281,0,1634,0,0,0,0,-0.608272506082725,0
1,890,62500,3204,0,1662,0,0,0,0,1.71358629130967,0
1,900,62500,2521,0,1647,0,0,0,0,-0.902527075812274,0
1,910,62500,2860,0,1632,0,0,0,0,-0.910746812386157,0
1,920,62500,2715,0,1661,0,0,0,0,1.77696078431373,0
1,930,62500,3078,0,1640,0,0,0,0,-1.26429861529199,0
1,940,62500,2995,0,1675,0,0,0,0,2.13414634146341,0
1,950,62500,2955,0,1651,0,0,0,0,-1.43283582089552,0
1,960,62500,3014,0,1613,0,0,0,0,-2.30163537250151,0
1,970,62500,2967,0,1660,0,0,0,0,2.91382517048977,0
1,980,62500,2416,0,1638,0,0,0,0,-1.32530120481928,0
1,990,62500,2429,0,1724,0,0,0,0,5.25030525030525,0
1,1000,62500,2441,0,1634,0,0,0,0,-5.22041763341067,0
2,0,62500,62500,0,100,0,0,0,0,0,0
2,10,62500,57500,0,97,0,0,0,0,-3,0
2,20,62500,57736,0,140,0,0,0,0,44.3298969072165,0
2,30,62500,55540,0,195,0,0,0,0,39.2857142857143,0
2,40,62500,52770,0,273,0,0,0,0,40,0
2,50,62500,48803,0,393,0,0,0,0,43.956043956044,0
2,60,62500,42957,0,547,0,0,0,0,39.1857506361323,0
2,70,62500,35387,0,752,0,0,0,0,37.4771480804388,0
2,80,62500,25968,0,1052,0,0,0,0,39.8936170212766,0
2,90,62500,14504,0,1366,0,0,0,0,29.8479087452471,0
2,100,62500,6701,0,1610,0,0,0,0,17.8623718887262,0
2,110,62500,3209,0,1669,0,0,0,0,3.66459627329193,0
2,120,62500,2271,0,1648,0,0,0,0,-1.25823846614739,0
2,130,62500,2472,0,1681,0,0,0,0,2.00242718446602,0
2,140,62500,3205,0,1659,0,0,0,0,-1.30874479476502,0
2,150,62500,2234,0,1647,0,0,0,0,-0.723327305605787,0
2,160,62500,2770,0,1636,0,0,0,0,-0.667880995749848,0
2,170,62500,3017,0,1658,0,0,0,0,1.34474327628362,0
2,180,62500,2807,0,1638,0,0,0,0,-1.20627261761158,0
2,190,62500,3120,0,1649,0,0,0,0,0.671550671550671,0
2,200,62500,3167,0,1635,0,0,0,0,-0.848999393571862,0
2,210,62500,6540,0,1166,0,61,312,0,-28.6850152905199,0
2,220,62500,31605,0,245,0,42,393,0,-78.9879931389365,25.9615384615385
2,230,62500,57669,0,24,0,4,36,0,-90.2040816326531,-90.8396946564885
2,240,62500,61356,0,40,0,0,0,0,66.6666666666667,-100
2,250,62500,60603,0,56,0,0,0,0,40,0
2,260,62500,59708,0,71,0,0,0,0,26.7857142857143,0
2,270,62500,58950,0,103,0,0,0,0,45.0704225352113,0
2,280,62500,57485,0,157,0,0,0,0,52.4271844660194,0
2,290,62500,54430,0,237,0,0,0,0,50.9554140127389,0
2,300,62500,50690,0,303,0,0,0,0,27.8481012658228,0
2,310,62500,47557,0,449,0,0,0,0,48.1848184818482,0
2,320,62500,40097,0,616,0,0,0,0,37.1937639198218,0
2,330,62500,32551,0,831,0,0,0,0,34.9025974025974,0
2,340,62500,23089,0,1122,0,0,0,0,35.0180505415162,0
2,350,62500,12723,0,1412,0,0,0,0,25.8467023172906,0
2,360,62500,6082,0,1653,0,0,0,0,17.0679886685552,0
2,370,62500,3266,0,1621,0,0,0,0,-1.93587416817907,0
2,380,62500,3010,0,1663,0,0,0,0,2.59099321406539,0
2,390,62500,2654,0,1636,0,0,0,0,-1.62357185808779,0
2,400,62500,3023,0,1656,0,0,0,0,1.22249388753056,0
2,410,62500,3108,0,1665,0,0,0,0,0.543478260869565,0
2,420,62500,2750,0,1634,0,0,0,0,-1.86186186186186,0
2,430,62500,3780,0,1599,0,0,0,0,-2.14198286413709,0
2,440,62500,3209,0,1627,0,0,0,0,1.75109443402126,0
2,450,62500,3330,0,1621,0,0,0,0,-0.368776889981561,0
2,460,62500,3057,0,1688,0,0,0,0,4.13325107958051,0
2,470,62500,3012,0,1656,0,0,0,0,-1.8957345971564,0
2,480,62500,2928,0,1668,0,0,0,0,0.72463768115942,0
2,490,62500,2708,0,1633,0,0,0,0,-2.09832134292566,0
2,500,62500,3422,0,1614,0,0,0,0,-1.16350275566442,0
2,510,62500,3146,0,1705,0,0,0,0,5.63816604708798,0
2,520,62500,2379,0,1652,0,0,0,0,-3.10850439882698,0
2,530,62500,3082,0,1612,0,0,0,0,-2.42130750605327,0
2,540,62500,3240,0,1637,0,0,0,0,1.55086848635236,0
2,550,62500,2607,0,1684,0,0,0,0,2.87110568112401,0
2,560,62500,2819,0,1636,0,0,0,0,-2.85035629453682,0
2,570,62500,2887,0,1670,0,0,0,0,2.07823960880196,0
2,580,62500,2509,0,1639,0,0,0,0,-1.8562874251497,0
2,590,62500,2595,0,1663,0,0,0,0,1.46430750457596,0
2,600,62500,2462,0,1665,0,0,0,0,0.120264582080577,0
2,610,62500,2594,0,1637,0,0,0,0,-1.68168168168168,0
2,620,62500,3068,0,1635,0,0,0,0,-0.122174709835064,0
2,630,62500,3330,0,1656,0,0,0,0,1.28440366972477,0
2,640,62500,2976,0,1627,0,0,0,0,-1.7512077294686,0
2,650,62500,2734,0,1664,0,0,0,0,2.27412415488629,0
2,660,62500,1998,0,1688,0,0,0,0,1.44230769230769,0
2,670,62500,2531,0,1684,0,0,0,0,-0.23696682464455,0
2,680,62500,3027,0,1642,0,0,0,0,-2.49406175771971,0
2,690,62500,2343,0,1674,0,0,0,0,1.94884287454324,0
2,700,62500,2736,0,1625,0,0,0,0,-2.92712066905615,0
2,710,62500,3458,0,1676,0,0,0,0,3.13846153846154,0
2,720,62500,3179,0,1633,0,0,0,0,-2.56563245823389,0
2,730,62500,3275,0,1632,0,0,0,0,-0.0612369871402327,0
