"replicate","timeStep","resource1amount","resource2amount","prey1PopulationSize","prey2PopulationSize","prey1catches","prey2catches","predator1PopulationSize","prey1growthRate","prey2growthRate","predatorGrowthRate"
1,0,62500,62500,0,100,0,0,0,0,0,0
1,10,62500,57563,0,97,0,0,0,0,-3,0
1,20,62500,57688,0,131,0,0,0,0,35.0515463917526,0
1,30,62500,55847,0,194,0,0,0,0,48.0916030534351,0
1,40,62500,52721,0,260,0,0,0,0,34.020618556701,0
1,50,62500,49472,0,358,0,0,0,0,37.6923076923077,0
1,60,62500,44672,0,519,0,0,0,0,44.9720670391061,0
1,70,62500,36858,0,731,0,0,0,0,40.8477842003854,0
1,80,62500,26664,0,1006,0,0,0,0,37.6196990424077,0
1,90,62500,15950,0,1366,0,0,0,0,35.7852882703777,0
1,100,62500,6736,0,1576,0,0,0,0,15.3733528550512,0
1,110,62500,3227,0,1667,0,0,0,0,5.7741116751269,0
1,120,62500,2424,0,1662,0,0,0,0,-0.2999400119976,0
1,130,62500,2556,0,1713,0,0,0,0,3.06859205776173,0
1,140,62500,2110,0,1621,0,0,0,0,-5.37069468768243,0
1,150,62500,3007,0,1658,0,0,0,0,2.28254164096237,0
1,160,62500,3046,0,1652,0,0,0,0,-0.361881785283474,0
1,170,62500,3262,0,1656,0,0,0,0,0.242130750605327,0
1,180,62500,3006,0,1603,0,0,0,0,-3.20048309178744,0
1,190,62500,2971,0,1658,0,0,0,0,3.43106674984404,0
1,200,62500,2516,0,1643,0,0,0,0,-0.904704463208685,0
1,210,62500,8100,0,993,0,54,398,0,-39.561777236762,0
1,220,62500,45015,0,15,0,7,400,0,-98.4894259818731,0.50251256281407
1,230,62500,62371,0,0,0,0,10,0,-100,-97.5
1,240,62500,62500,0,0,0,0,0,0,0,-100
1,250,62500,62500,0,0,0,0,0,0,0,0
1,260,62500,62500,0,0,0,0,0,0,0,0
1,270,62500,62500,0,0,0,0,0,0,0,0
1,280,62500,62500,0,0,0,0,0,0,0,0
1,290,62500,62500,0,0,0,0,0,0,0,0
1,300,62500,62500,0,0,0,0,0,0,0,0
1,310,62500,62500,0,0,0,0,0,0,0,0
1,320,62500,62500,0,0,0,0,0,0,0,0
1,330,62500,62500,0,0,0,0,0,0,0,0
1,340,62500,62500,0,0,0,0,0,0,0,0
1,350,62500,62500,0,0,0,0,0,0,0,0
1,360,62500,62500,0,0,0,0,0,0,0,0
1,370,62500,62500,0,0,0,0,0,0,0,0
1,380,62500,62500,0,0,0,0,0,0,0,0
1,390,62500,62500,0,0,0,0,0,0,0,0
1,400,62500,62500,0,0,0,0,0,0,0,0
1,410,62500,62500,0,0,0,0,0,0,0,0
1,420,62500,62500,0,0,0,0,0,0,0,0
1,430,62500,62500,0,0,0,0,0,0,0,0
1,440,62500,62500,0,0,0,0,0,0,0,0
1,450,62500,62500,0,0,0,0,0,0,0,0
1,460,62500,62500,0,0,0,0,0,0,0,0
1,470,62500,62500,0,0,0,0,0,0,0,0
1,480,62500,62500,0,0,0,0,0,0,0,0
1,490,62500,62500,0,0,0,0,0,0,0,0
1,500,62500,62500,0,0,0,0,0,0,0,0
1,510,62500,62500,0,0,0,0,0,0,0,0
1,520,62500,62500,0,0,0,0,0,0,0,0
1,530,62500,62500,0,0,0,0,0,0,0,0
1,540,62500,62500,0,0,0,0,0,0,0,0
1,550,62500,62500,0,0,0,0,0,0,0,0
1,560,62500,62500,0,0,0,0,0,0,0,0
1,570,62500,62500,0,0,0,0,0,0,0,0
1,580,62500,62500,0,0,0,0,0,0,0,0
1,590,62500,62500,0,0,0,0,0,0,0,0
1,600,62500,62500,0,0,0,0,0,0,0,0
1,610,62500,62500,0,0,0,0,0,0,0,0
1,620,62500,62500,0,0,0,0,0,0,0,0
1,630,62500,62500,0,0,0,0,0,0,0,0
1,640,62500,62500,0,0,0,0,0,0,0,0
1,650,62500,62500,0,0,0,0,0,0,0,0
1,660,62500,62500,0,0,0,0,0,0,0,0
1,670,62500,62500,0,0,0,0,0,0,0,0
1,680,62500,62500,0,0,0,0,0,0,0,0
1,690,62500,62500,0,0,0,0,0,0,0,0
1,700,62500,62500,0,0,0,0,0,0,0,0
1,710,62500,62500,0,0,0,0,0,0,0,0
1,720,62500,62500,0,0,0,0,0,0,0,0
1,730,62500,62500,0,0,0,0,0,0,0,0
1,740,62500,62500,0,0,0,0,0,0,0,0
1,750,62500,62500,0,0,0,0,0,0,0,0
1,760,62500,62500,0,0,0,0,0,0,0,0
1,770,62500,62500,0,0,0,0,0,0,0,0
1,780,62500,62500,0,0,0,0,0,0,0,0
1,790,62500,62500,0,0,0,0,0,0,0,0
1,800,62500,62500,0,0,0,0,0,0,0,0
1,810,62500,62500,0,0,0,0,0,0,0,0
1,820,62500,62500,0,0,0,0,0,0,0,0
1,830,62500,62500,0,0,0,0,0,0,0,0
1,840,62500,62500,0,0,0,0,0,0,0,0
1,850,62500,62500,0,0,0,0,0,0,0,0
1,860,62500,62500,0,0,0,0,0,0,0,0
1,870,62500,62500,0,0,0,0,0,0,0,0
1,880,62500,62500,0,0,0,0,0,0,0,0
1,890,62500,62500,0,0,0,0,0,0,0,0
1,900,62500,62500,0,0,0,0,0,0,0,0
1,910,62500,62500,0,0,0,0,0,0,0,0
1,920,62500,62500,0,0,0,0,0,0,0,0
1,930,62500,62500,0,0,0,0,0,0,0,0
1,940,62500,62500,0,0,0,0,0,0,0,0
1,950,62500,62500,0,0,0,0,0,0,0,0
1,960,62500,62500,0,0,0,0,0,0,0,0
1,970,62500,62500,0,0,0,0,0,0,0,0
1,980,62500,62500,0,0,0,0,0,0,0,0
1,990,62500,62500,0,0,0,0,0,0,0,0
1,1000,62500,62500,0,0,0,0,0,0,0,0
2,0,62500,62500,0,100,0,0,0,0,0,0
2,10,62500,57587,0,98,0,0,0,0,-2,0
2,20,62500,57630,0,134,0,0,0,0,36.734693877551,0
2,30,62500,55850,0,200,0,0,0,0,49.2537313432836,0
2,40,62500,52997,0,256,0,0,0,0,28,0
2,50,62500,49956,0,376,0,0,0,0,46.875,0
2,60,62500,43455,0,534,0,0,0,0,42.0212765957447,0
2,70,62500,36413,0,712,0,0,0,0,33.3333333333333,0
2,80,62500,27578,0,997,0,0,0,0,40.0280898876404,0
2,90,62500,15987,0,1330,0,0,0,0,33.4002006018054,0
2,100,62500,8523,0,1527,0,0,0,0,14.812030075188,0
2,110,62500,3818,0,1666,0,0,0,0,9.10281597904388,0
2,120,62500,2662,0,1684,0,0,0,0,1.08043217286915,0
2,130,62500,2806,0,1663,0,0,0,0,-1.24703087885986,0
2,140,62500,3113,0,1653,0,0,0,0,-0.601322910402886,0
2,150,62500,2619,0,1630,0,0,0,0,-1.39140955837871,0
2,160,62500,2750,0,1621,0,0,0,0,-0.552147239263804,0
2,170,62500,2982,0,1701,0,0,0,0,4.93522516964837,0
2,180,62500,2735,0,1638,0,0,0,0,-3.7037037037037,0
2,190,62500,2920,0,1600,0,0,0,0,-2.31990231990232,0
2,200,62500,3571,0,1672,0,0,0,0,4.5,0
2,210,62500,8125,0,996,0,62,414,0,-40.4306220095694,0
2,220,62500,45236,0,23,0,11,385,0,-97.6907630522088,-7.0048309178744
2,230,62500,62235,0,0,0,0,10,0,-100,-97.4025974025974
2,240,62500,62500,0,0,0,0,0,0,0,-100
2,250,62500,62500,0,0,0,0,0,0,0,0
2,260,62500,62500,0,0,0,0,0,0,0,0
2,270,62500,62500,0,0,0,0,0,0,0,0
2,280,62500,62500,0,0,0,0,0,0,0,0
2,290,62500,62500,0,0,0,0,0,0,0,0
2,300,62500,62500,0,0,0,0,0,0,0,0
2,310,62500,62500,0,0,0,0,0,0,0,0
2,320,62500,62500,0,0,0,0,0,0,0,0
2,330,62500,62500,0,0,0,0,0,0,0,0
2,340,62500,62500,0,0,0,0,0,0,0,0
2,350,62500,62500,0,0,0,0,0,0,0,0
2,360,62500,62500,0,0,0,0,0,0,0,0
2,370,62500,62500,0,0,0,0,0,0,0,0
2,380,62500,62500,0,0,0,0,0,0,0,0
2,390,62500,62500,0,0,0,0,0,0,0,0
2,400,62500,62500,0,0,0,0,0,0,0,0
2,410,62500,62500,0,0,0,0,0,0,0,0
2,420,62500,62500,0,0,0,0,0,0,0,0
2,430,62500,62500,0,0,0,0,0,0,0,0
2,440,62500,62500,0,0,0,0,0,0,0,0
2,450,62500,62500,0,0,0,0,0,0,0,0
2,460,62500,62500,0,0,0,0,0,0,0,0
