"replicate","timeStep","resource1amount","resource2amount","prey1PopulationSize","prey2PopulationSize","prey1catches","prey2catches","predator1PopulationSize","prey1growthRate","prey2growthRate","predatorGrowthRate"
1,0,62500,62500,0,100,0,0,0,0,0,0
1,10,62500,57312,0,103,0,0,0,0,3,0
1,20,62500,57411,0,149,0,0,0,0,44.6601941747573,0
1,30,62500,55187,0,213,0,0,0,0,42.9530201342282,0
1,40,62500,51854,0,287,0,0,0,0,34.7417840375587,0
1,50,62500,48178,0,418,0,0,0,0,45.6445993031359,0
1,60,62500,41451,0,561,0,0,0,0,34.2105263157895,0
1,70,62500,34677,0,793,0,0,0,0,41.3547237076649,0
1,80,62500,24133,0,1060,0,0,0,0,33.6696090794451,0
1,90,62500,14601,0,1372,0,0,0,0,29.4339622641509,0
1,100,62500,6145,0,1598,0,0,0,0,16.4723032069971,0
1,110,62500,4310,0,1655,0,0,0,0,3.56695869837297,0
1,120,62500,2782,0,1621,0,0,0,0,-2.05438066465257,0
1,130,62500,2747,0,1661,0,0,0,0,2.46761258482418,0
1,140,62500,2809,0,1699,0,0,0,0,2.28777844671884,0
1,150,62500,2636,0,1648,0,0,0,0,-3.00176574455562,0
1,160,62500,2776,0,1659,0,0,0,0,0.66747572815534,0
1,170,62500,2808,0,1628,0,0,0,0,-1.86859553948162,0
1,180,62500,2946,0,1659,0,0,0,0,1.9041769041769,0
1,190,62500,2874,0,1646,0,0,0,0,-0.783604581072936,0
1,200,62500,2761,0,1641,0,0,0,0,-0.303766707168894,0
1,210,62500,4656,0,1517,0,0,112,0,-7.55636806825107,0
1,220,62500,4626,0,1644,0,0,118,0,8.37178642056691,5.35714285714286
1,230,62500,3720,0,1618,0,0,132,0,-1.58150851581509,11.864406779661
1,240,62500,3335,0,1613,0,0,143,0,-0.30902348578492,8.33333333333333
1,250,62500,4188,0,1614,0,0,154,0,0.0619962802231866,7.69230769230769
1,260,62500,3897,0,1640,0,0,172,0,1.61090458488228,11.6883116883117
1,270,62500,3973,0,1630,0,0,191,0,-0.609756097560976,11.046511627907
1,280,62500,4448,0,1557,0,0,212,0,-4.47852760736196,10.9947643979058
1,290,62500,5307,0,1610,0,0,226,0,3.40398201669878,6.60377358490566
1,300,62500,4427,0,1619,0,0,250,0,0.559006211180124,10.6194690265487
1,310,62500,5251,0,1546,0,0,265,0,-4.50895614576899,6
1,320,62500,5128,0,1628,0,0,285,0,5.30401034928849,7.54716981132075
1,330,62500,5165,0,1526,0,0,309,0,-6.26535626535627,8.42105263157895
1,340,62500,6636,0,1553,0,0,338,0,1.76933158584535,9.38511326860841
1,350,62500,6810,0,1511,0,0,372,0,-2.70444301352222,10.0591715976331
1,360,62500,7722,0,1499,0,0,409,0,-0.794176042356056,9.94623655913978
1,370,62500,8765,0,1506,0,0,454,0,0.466977985323549,11.0024449877751
1,380,62500,8636,0,1494,0,0,495,0,-0.796812749003984,9.03083700440529
1,390,62500,8678,0,1460,0,0,543,0,-2.27576974564926,9.6969696969697
1,400,62500,9305,0,1407,0,0,609,0,-3.63013698630137,12.1546961325967
1,410,62500,13282,0,1324,0,0,680,0,-5.89907604832978,11.6584564860427
1,420,62500,15616,0,1220,0,0,758,0,-7.85498489425982,11.4705882352941
1,430,62500,21942,0,1032,0,0,849,0,-15.4098360655738,12.0052770448549
1,440,62500,31498,0,751,0,0,941,0,-27.2286821705426,10.8362779740872
1,450,62500,45692,0,275,0,3,1019,0,-63.3821571238349,8.28905419766206
1,460,62500,59352,0,0,0,0,1090,0,-100,6.96761530912659
1,470,62500,62500,0,0,0,0,991,0,0,-9.08256880733945
1,480,62500,62500,0,0,0,0,592,0,0,-40.2623612512614
1,490,62500,62500,0,0,0,0,172,0,0,-70.945945945946
1,500,62500,62500,0,0,0,0,0,0,0,-100
1,510,62500,62500,0,0,0,0,0,0,0,0
1,520,62500,62500,0,0,0,0,0,0,0,0
1,530,62500,62500,0,0,0,0,0,0,0,0
1,540,62500,62500,0,0,0,0,0,0,0,0
1,550,62500,62500,0,0,0,0,0,0,0,0
1,560,62500,62500,0,0,0,0,0,0,0,0
1,570,62500,62500,0,0,0,0,0,0,0,0
1,580,62500,62500,0,0,0,0,0,0,0,0
1,590,62500,62500,0,0,0,0,0,0,0,0
1,600,62500,62500,0,0,0,0,0,0,0,0
1,610,62500,62500,0,0,0,0,0,0,0,0
1,620,62500,62500,0,0,0,0,0,0,0,0
1,630,62500,62500,0,0,0,0,0,0,0,0
1,640,62500,62500,0,0,0,0,0,0,0,0
1,650,62500,62500,0,0,0,0,0,0,0,0
1,660,62500,62500,0,0,0,0,0,0,0,0
1,670,62500,62500,0,0,0,0,0,0,0,0
1,680,62500,62500,0,0,0,0,0,0,0,0
1,690,62500,62500,0,0,0,0,0,0,0,0
1,700,62500,62500,0,0,0,0,0,0,0,0
1,710,62500,62500,0,0,0,0,0,0,0,0
1,720,62500,62500,0,0,0,0,0,0,0,0
1,730,62500,62500,0,0,0,0,0,0,0,0
1,740,62500,62500,0,0,0,0,0,0,0,0
1,750,62500,62500,0,0,0,0,0,0,0,0
1,760,62500,62500,0,0,0,0,0,0,0,0
1,770,62500,62500,0,0,0,0,0,0,0,0
1,780,62500,62500,0,0,0,0,0,0,0,0
1,790,62500,62500,0,0,0,0,0,0,0,0
1,800,62500,62500,0,0,0,0,0,0,0,0
1,810,62500,62500,0,0,0,0,0,0,0,0
1,820,62500,62500,0,0,0,0,0,0,0,0
1,830,62500,62500,0,0,0,0,0,0,0,0
1,840,62500,62500,0,0,0,0,0,0,0,0
1,850,62500,62500,0,0,0,0,0,0,0,0
1,860,62500,62500,0,0,0,0,0,0,0,0
1,870,62500,62500,0,0,0,0,0,0,0,0
1,880,62500,62500,0,0,0,0,0,0,0,0
1,890,62500,62500,0,0,0,0,0,0,0,0
1,900,62500,62500,0,0,0,0,0,0,0,0
1,910,62500,62500,0,0,0,0,0,0,0,0
1,920,62500,62500,0,0,0,0,0,0,0,0
1,930,62500,62500,0,0,0,0,0,0,0,0
1,940,62500,62500,0,0,0,0,0,0,0,0
1,950,62500,62500,0,0,0,0,0,0,0,0
1,960,62500,62500,0,0,0,0,0,0,0,0
1,970,62500,62500,0,0,0,0,0,0,0,0
1,980,62500,62500,0,0,0,0,0,0,0,0
1,990,62500,62500,0,0,0,0,0,0,0,0
1,1000,62500,62500,0,0,0,0,0,0,0,0
2,0,62500,62500,0,100,0,0,0,0,0,0
2,10,62500,57606,0,94,0,0,0,0,-6,0
2,20,62500,58044,0,139,0,0,0,0,47.8723404255319,0
2,30,62500,55550,0,210,0,0,0,0,51.0791366906475,0
2,40,62500,51930,0,271,0,0,0,0,29.047619047619,0
2,50,62500,48995,0,399,0,0,0,0,47.2324723247232,0
2,60,62500,42365,0,542,0,0,0,0,35.8395989974937,0
2,70,62500,36046,0,777,0,0,0,0,43.3579335793358,0
2,80,62500,24613,0,1055,0,0,0,0,35.7786357786358,0
2,90,62500,14723,0,1380,0,0,0,0,30.8056872037915,0
2,100,62500,5943,0,1573,0,0,0,0,13.9855072463768,0
2,110,62500,3869,0,1664,0,0,0,0,5.78512396694215,0
2,120,62500,2531,0,1693,0,0,0,0,1.74278846153846,0
2,130,62500,2734,0,1677,0,0,0,0,-0.945067926757236,0
2,140,62500,2736,0,1616,0,0,0,0,-3.63744782349434,0
2,150,62500,2836,0,1680,0,0,0,0,3.96039603960396,0
2,160,62500,2589,0,1623,0,0,0,0,-3.39285714285714,0
2,170,62500,3424,0,1608,0,0,0,0,-0.924214417744917,0
2,180,62500,3120,0,1687,0,0,0,0,4.91293532338308,0
2,190,62500,2669,0,1633,0,0,0,0,-3.2009484291642,0
2,200,62500,2816,0,1678,0,0,0,0,2.75566442131047,0
2,210,62500,3787,0,1584,0,0,103,0,-5.60190703218117,0
2,220,62500,3262,0,1639,0,0,120,0,3.47222222222222,16.504854368932
2,230,62500,3784,0,1627,0,0,128,0,-0.732153752287981,6.66666666666667
2,240,62500,3610,0,1604,0,0,135,0,-1.41364474492932,5.46875
2,250,62500,5142,0,1616,0,0,144,0,0.748129675810474,6.66666666666667
2,260,62500,4153,0,1589,0,0,156,0,-1.67079207920792,8.33333333333333
2,270,62500,3963,0,1594,0,0,169,0,0.314663310258024,8.33333333333333
2,280,62500,3539,0,1664,0,0,183,0,4.39146800501882,8.28402366863905
2,290,62500,3918,0,1608,0,0,203,0,-3.36538461538462,10.9289617486339
2,300,62500,4267,0,1608,0,0,221,0,0,8.86699507389163
2,310,62500,4378,0,1542,0,0,236,0,-4.1044776119403,6.78733031674208
2,320,62500,5720,0,1587,0,0,264,0,2.91828793774319,11.864406779661
2,330,62500,5993,0,1557,0,0,291,0,-1.89035916824197,10.2272727272727
2,340,62500,5794,0,1576,0,0,319,0,1.22029543994862,9.62199312714777
2,350,62500,6189,0,1541,0,0,347,0,-2.22081218274112,8.77742946708464
