"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,10,62500,62500,62500,62500,62500,62500,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,57455.3,57398.1,57512.8,57489.3,57422.7,57555.9,101,99.4,102.9,98.3,97.2,99.4,0,0,0,0,0,0,0,0,0,1,-0.6,2.9,-1.7,-2.8,-0.6,0,0,0
20,10,57415,57327.4,57488.2,57567.6,57483.7,57653.6,146.7,141.6,151.8,141.5,137.2,145.8,0,0,0,0,0,0,0,0,0,45.4955351802835,38.3319859272816,52.6770288534995,43.869948368,40.6291855164677,46.7394316767874,0,0,0
30,10,55131.1,54829.2,55432.6,55427.2,55222.5,55653.3,209.6,202.7,215.8,204.2,197.8,210.7,0,0,0,0,0,0,0,0,0,43.0157519955568,39.9573243483151,46.4538788580891,44.4681416110113,40.4850261600736,48.1553271176764,0,0,0
40,10,52077.1,51666.5,52430.3,52288.8,52001.8,52598.9,295.9,287.3,305.5,281.7,268.1,292.8,0,0,0,0,0,0,0,0,0,41.263892211837,38.4815131164971,44.1035122191548,37.8842363558777,34.2383790766696,40.8692922660592,0,0,0
50,10,47717.6,47198.7,48168.4,48457.3,47928.1,49174.7,414.5,402,427.6,398.5,380.7,413.4,0,0,0,0,0,0,0,0,0,40.0982502583134,38.211878746469,41.894395323745,41.5205388213912,39.0842583467401,43.4063359555179,0,0,0
60,10,41770.2,40941.9,42413.6,42658.8,41813.9,43660.3,581.8,564.3,602.8,562.2,537.5,582.7,0,0,0,0,0,0,0,0,0,40.405489550124,38.1386904040249,42.2620654113459,41.1682180209072,38.6783683512947,43.6113588412317,0,0,0
70,10,33625.7,32570.4,34474.1,34655.6,33540.5,35864.7,817.4,788.9,851.7,783.3,748.4,815.5,0,0,0,0,0,0,0,0,0,40.4420551220329,38.3862455524242,42.6177018053175,39.2684441529352,38.001749391901,40.7471469132812,0,0,0
80,10,23351,21896,24617.6,24907,23531,26611.8,1112.1,1078.6,1148.1,1071.3,1029.2,1105.4,0,0,0,0,0,0,0,0,0,36.2081567629911,33.7648219237178,38.6319757402561,36.9570466108203,34.4703314186144,39.2860189172082,0,0,0
90,10,12816.8,11799.4,13739,14309.3,13260.8,15615,1413.9,1384.8,1441.9,1375.3,1335.5,1410.1,0,0,0,0,0,0,0,0,0,27.2561295983335,25.3391036602168,28.9204115285621,28.4999626367153,26.967533652028,30.1713530087663,0,0,0
100,10,5992.2,5400.3,6571,6996.8,6211.9,7796.7,1618.5,1598.8,1637.5,1571,1541,1599.8,0,0,0,0,0,0,0,0,0,14.5584286152048,12.7733599940763,16.4202952883004,14.3711681079788,11.9586793350816,16.8449312954048,0,0,0
110,10,3287.9,3038.7,3506.6,3762.8,3361.8,4174.1,1658.9,1644.4,1673.1,1663.6,1647,1679.4,0,0,0,0,0,0,0,0,0,2.53897572306753,0.83153496929492,4.23167273503882,5.96093824870685,4.23007650593667,7.67270421577091,0,0,0
120,10,2651.8,2439.6,2849,2893.7,2667.8,3126.4,1655.7,1634.5,1678.3,1663.2,1651,1677.1,0,0,0,0,0,0,0,0,0,-0.163210854568735,-2.0620295504181,1.47109776911522,0.00318008241090029,-1.25812476631869,1.23457596644019,0,0,0
130,10,2917.9,2672.1,3162,2721.8,2491.4,2930.9,1654.7,1643,1668.2,1646.7,1631.1,1659.9,0,0,0,0,0,0,0,0,0,-0.00183682222316155,-1.88447341979498,1.67840214601641,-0.9825194387529,-1.97938553252993,-0.00395286654081262,0,0,0
140,10,2822.5,2674.7,2973.2,2883.8,2638.3,3136.8,1648.6,1634.9,1662.9,1641.1,1630.6,1651.1,0,0,0,0,0,0,0,0,0,-0.360227076704749,-1.27507976582223,0.495810662699378,-0.314882298611443,-1.33154313723504,0.864836806656137,0,0,0
150,10,3091.5,2809.2,3298.7,3157.3,2985.8,3316.8,1648,1638,1658.5,1641.2,1627.2,1658.1,0,0,0,0,0,0,0,0,0,-0.0186100862582705,-1.10498476305804,0.918640772313644,0.0209477132708417,-1.20541718102672,1.3834245522054,0,0,0
160,10,3041.5,2789.7,3269.1,2874.6,2656.8,3091.8,1649,1633.5,1665.3,1658.1,1647.5,1668.5,0,0,0,0,0,0,0,0,0,0.0695050063221998,-0.994741680649964,1.13800728297115,1.06277784719958,-0.388158193693836,2.44820708763639,0,0,0
170,10,2876.3,2624.8,3155,2733.9,2564.3,2918.4,1648.8,1632.4,1669,1654.5,1642.9,1666.4,0,0,0,0,0,0,0,0,0,0.00829081891567409,-1.46235785282672,1.29458142897743,-0.208166380360512,-1.02399658268609,0.619343764459375,0,0,0
180,10,2965.3,2676.6,3273.4,2839.4,2615.2,3054.8,1648.4,1633,1664.9,1638.6,1625.5,1651.3,0,0,0,0,0,0,0,0,0,0.00707922436387134,-1.53157689822905,1.37564843991222,-0.947116570008078,-2.04919914698623,0.122847876689416,0,0,0
190,10,2813.1,2588.3,2997.4,2877.7,2706.9,3031.3,1649.3,1634.1,1662.2,1642,1633.1,1652.1,0,0,0,0,0,0,0,0,0,0.0843745744077654,-1.34487203021044,1.57051180624607,0.224280694374292,-0.699608412065998,1.36493408322195,0,0,0
200,10,2972.1,2779.4,3157.2,2927.5,2710.9,3136.5,1633.3,1621.9,1643.3,1651.7,1637.9,1665.4,0,0,0,0,0,0,0,0,0,-0.954633941897732,-1.85186169959454,0.0404189219803848,0.601359597098962,-0.401985137086667,1.56050308793445,0,0,0
210,10,4484.5,4258.8,4736.8,4198.5,3936.6,4455,1573.5,1559.1,1587.7,1576,1564.1,1587,0,0,0,0,0,0,143.8,141.4,145.8,-3.65071027685681,-4.76237254860675,-2.66095545281882,-4.57368117225058,-5.39187056402831,-3.80506648009244,0,0,0
220,10,4809.3,4607.6,4979.9,4905.5,4581.2,5219.2,1583.5,1570.8,1595.8,1580.1,1568.1,1592.1,0,0,0,0,0,0,215.6,210.6,220.1,0.664518552441281,-0.863231837672662,2.14025859053441,0.279654274488474,-0.951450911936449,1.52458050180065,49.9447767957501,46.6822786156553,52.8444181092095
230,10,5543.1,5296.5,5789.5,5489.5,5272.1,5714.7,1545.8,1535.1,1556.3,1552.1,1533.1,1568,0,0,0,0,0,0,326,316.4,336.2,-2.36788394258862,-3.25853266310929,-1.48573581133765,-1.76265143581429,-3.15477118430493,-0.673252860098967,51.164064927484,48.7074797254195,53.452902471127
240,10,7799.3,7485.6,8164.5,7390.5,6798,7996.2,1471.8,1456.4,1485.4,1483.6,1460,1506.3,0,0,0,0,0,0,492.7,475.7,513.2,-4.77873801385849,-5.85026020169633,-3.80679994780672,-4.41257851949791,-5.49700443306256,-3.31106265816972,51.0780428443041,49.3284873864305,53.1429659983946
250,10,11988,11343.3,12656.7,11613.7,10780.4,12495.1,1324.8,1288.3,1360.6,1326.1,1294.6,1359.4,0,0,0,0,0,0,744.4,711,781.6,-9.99674666385842,-12.3938108530299,-7.67206885121439,-10.6323361495437,-11.6970775029307,-9.52425944398596,50.9681470902247,49.2198389492545,53.0028830707816
260,10,22169.2,19974.8,24639.7,22022.8,20163.5,24137.3,978.5,888.5,1049.1,974.4,903.1,1030.3,0,0,0,0,0,0,1121.8,1059.3,1190.3,-26.3867875648917,-30.688269780949,-23.1219661970216,-26.6608112191066,-31.1251443379598,-23.2209091427038,50.5297993758938,49.0393670694147,52.2471164571372
270,10,45283.9,41527.5,48990.6,45289.2,42168.4,48396.9,218.6,124.1,330.8,218.6,128.9,322.5,3.3,1.8,4.9,4.4,2.7,6.1,1669.2,1591.7,1747.3,-79.2149458392347,-87.2557648678513,-70.3872791035383,-78.870071671018,-86.6567658677768,-70.2989588035705,49.1007517952961,46.0119707451642,51.2924694956081
280,10,60899.5,59969.1,61742.8,60938.4,60096.5,61663.2,0,0,0,0,0,0,0,0,0,0,0,0,1596.4,1473.2,1694.3,-90,-100,-70,-90,-100,-70,-3.27565899320168,-13.7340763079097,6.71176822236801
290,10,62500,62500,62500,62500,62500,62500,0,0,0,0,0,0,0,0,0,0,0,0,610.1,483.6,738.9,0,0,0,0,0,0,-62.6937980568414,-68.9894039113794,-56.2305868385531
300,10,62500,62500,62500,62500,62500,62500,0,0,0,0,0,0,0,0,0,0,0,0,78.3,43.1,117.7,0,0,0,0,0,0,-89.1571724504738,-93.0758584278382,-85.3045199664893
310,10,62500,62500,62500,62500,62500,62500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-90,-100,-70
320,10,62500,62500,62500,62500,62500,62500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,10,62500,62500,62500,62500,62500,62500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,10,62500,62500,62500,62500,62500,62500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,10,62500,62500,62500,62500,62500,62500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,10,62500,62500,62500,62500,62500,62500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
370,10,62500,62500,62500,62500,62500,62500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380,10,62500,62500,62500,62500,62500,62500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
390,10,62500,62500,62500,62500,62500,62500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,10,62500,62500,62500,62500,62500,62500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
410,10,62500,62500,62500,62500,62500,62500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420,10,62500,62500,62500,62500,62500,62500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
430,10,62500,62500,62500,62500,62500,62500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440,10,62500,62500,62500,62500,62500,62500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450,10,62500,62500,62500,62500,62500,62500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460,10,62500,62500,62500,62500,62500,62500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
470,10,62500,62500,62500,62500,62500,62500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480,10,62500,62500,62500,62500,62500,62500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
490,10,62500,62500,62500,62500,62500,62500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500,10,62500,62500,62500,62500,62500,62500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
510,10,62500,62500,62500,62500,62500,62500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
520,10,62500,62500,62500,62500,62500,62500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
530,10,62500,62500,62500,62500,62500,62500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
540,10,62500,62500,62500,62500,62500,62500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
550,10,62500,62500,62500,62500,62500,62500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
560,10,62500,62500,62500,62500,62500,62500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
570,10,62500,62500,62500,62500,62500,62500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
580,10,62500,62500,62500,62500,62500,62500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
590,10,62500,62500,62500,62500,62500,62500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600,10,62500,62500,62500,62500,62500,62500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
610,10,62500,62500,62500,62500,62500,62500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
620,10,62500,62500,62500,62500,62500,62500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
630,10,62500,62500,62500,62500,62500,62500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
640,10,62500,62500,62500,62500,62500,62500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
650,10,62500,62500,62500,62500,62500,62500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
660,10,62500,62500,62500,62500,62500,62500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
670,10,62500,62500,62500,62500,62500,62500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
680,10,62500,62500,62500,62500,62500,62500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
690,10,62500,62500,62500,62500,62500,62500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
