"replicate","timeStep","resource1amount","resource2amount","prey1PopulationSize","prey2PopulationSize","prey1catches","prey2catches","predator1PopulationSize","prey1growthRate","prey2growthRate","predatorGrowthRate"
1,0,62500,62500,100,100,0,0,0,0,0,0
1,10,57585,57448,103,101,0,0,0,3,1,0
1,20,57229,57578,148,145,0,0,0,43.6893203883495,43.5643564356436,0
1,30,55052,55078,210,213,0,0,0,41.8918918918919,46.8965517241379,0
1,40,52043,51902,314,286,0,0,0,49.5238095238095,34.2723004694836,0
1,50,46810,48400,410,404,0,0,0,30.5732484076433,41.2587412587413,0
1,60,42144,42376,605,582,0,0,0,47.5609756097561,44.0594059405941,0
1,70,32524,33677,851,803,0,0,0,40.6611570247934,37.9725085910653,0
1,80,21305,23167,1193,1113,0,0,0,40.1880141010576,38.6052303860523,0
1,90,10166,12606,1456,1420,0,0,0,22.0452640402347,27.5831087151842,0
1,100,5252,6124,1609,1598,0,0,0,10.5082417582418,12.5352112676056,0
1,110,3404,3775,1679,1695,0,0,0,4.35052827843381,6.07008760951189,0
1,120,2399,3038,1673,1664,0,0,0,-0.357355568790947,-1.82890855457227,0
1,130,2222,2519,1694,1648,0,0,0,1.25523012552301,-0.961538461538462,0
1,140,2644,2913,1613,1638,0,0,0,-4.78158205430933,-0.606796116504854,0
1,150,3237,3218,1648,1623,0,0,0,2.16986980781153,-0.915750915750916,0
1,160,3236,3167,1683,1629,0,0,0,2.12378640776699,0.369685767097967,0
1,170,2129,3212,1653,1643,0,0,0,-1.7825311942959,0.859422958870473,0
1,180,3286,2650,1593,1700,0,0,0,-3.62976406533575,3.46926354230067,0
1,190,3615,2358,1639,1654,0,0,0,2.88763339610797,-2.70588235294118,0
1,200,2740,2556,1691,1616,0,0,0,3.17266625991458,-2.29746070133011,0
1,210,3124,4308,1502,1495,18,25,3,-11.1768184506209,-7.48762376237624,0
1,220,4066,4182,1652,1638,0,2,1,9.9866844207723,9.56521739130435,-66.6666666666667
1,230,3198,3805,1614,1639,0,0,0,-2.30024213075061,0.061050061050061,-100
1,240,3431,2567,1666,1637,0,0,0,3.22180916976456,-0.12202562538133,0
1,250,2738,3164,1652,1662,0,0,0,-0.840336134453782,1.5271838729383,0
1,260,3013,3084,1657,1645,0,0,0,0.302663438256659,-1.02286401925391,0
1,270,2768,2711,1621,1633,0,0,0,-2.17260108630054,-0.729483282674772,0
1,280,2885,2698,1683,1707,0,0,0,3.82479950647748,4.53153704837722,0
1,290,2529,1680,1645,1686,0,0,0,-2.25787284610814,-1.23022847100176,0
1,300,2796,2502,1652,1665,0,0,0,0.425531914893617,-1.24555160142349,0
1,310,3271,2745,1636,1620,0,0,0,-0.968523002421308,-2.7027027027027,0
1,320,2612,3142,1616,1620,0,0,0,-1.22249388753056,0,0
1,330,3461,3566,1681,1644,0,0,0,4.02227722772277,1.48148148148148,0
1,340,2909,3211,1670,1652,0,0,0,-0.65437239738251,0.48661800486618,0
1,350,2420,2791,1628,1618,0,0,0,-2.51497005988024,-2.05811138014528,0
1,360,2113,3012,1695,1656,0,0,0,4.11547911547912,2.34857849196539,0
1,370,2499,2862,1608,1651,0,0,0,-5.13274336283186,-0.301932367149758,0
1,380,3305,2913,1656,1637,0,0,0,2.98507462686567,-0.847970926711084,0
1,390,2518,2969,1636,1700,0,0,0,-1.20772946859903,3.84850335980452,0
1,400,2952,2444,1643,1638,0,0,0,0.427872860635697,-3.64705882352941,0
1,410,2812,2506,1659,1622,0,0,0,0.973828362751065,-0.976800976800977,0
1,420,2421,2945,1638,1671,0,0,0,-1.26582278481013,3.0209617755857,0
1,430,2962,2511,1642,1648,0,0,0,0.244200244200244,-1.37642130460802,0
1,440,2910,3250,1651,1657,0,0,0,0.548112058465286,0.546116504854369,0
